tool_id	biotools_id	filtered_on	reason	to_keep	EDAM_operations	EDAM_topics	description	has_biocontainers_infos	has_biotools_infos	has_galaxy_infos
puffaligner	puffaligner	EDAM_topics	Metagenomics in EDAM Topics	True	De-novo assembly, Genome indexing, Read mapping, Sequence alignment, Variant calling	Metagenomics, Sequence analysis, Whole genome sequencing	An Efficient and Accurate Aligner Based on the Pufferfish Index.	False	True	False
infernal	infernal	biotools_description	profile in bio.tools description	True	Nucleic acid feature detection	Sequence sites, features and motifs, Structural genomics	"Infernal (""INFERence of RNA ALignment"") is for searching DNA sequence databases for RNA structure and sequence similarities. It is an implementation of a special case of profile stochastic context-free grammars called covariance models (CMs). A CM is like a sequence profile, but it scores a combination of sequence consensus and RNA secondary structure consensus, so in many cases, it is more capable of identifying RNA homologs that conserve their secondary structure more than their primary sequence."	True	True	True
graphbin	graphbin	EDAM_topics	Metagenomics in EDAM Topics	True	Read binning, Sample comparison, Sequence assembly	Mapping, Metagenomics, Microbial ecology, Sequence assembly, Sequencing	"Refined binning of metagenomic contigs using assembly graphs.

GraphBin is a NGS data-based metagenomic contig bin refinment tool that makes use of the contig connectivity information from the assembly graph to bin contigs. It utilizes the binning result of an existing binning tool and a label propagation algorithm to correct mis-binned contigs and predict the labels of contigs which are discarded due to short length."	False	True	False
circcode	CircCode	biotools_description	profile in bio.tools description	True	Coding region prediction, Filtering, Structure visualisation	Cell biology, Functional, regulatory and non-coding RNA, Gene transcripts, Protein expression, Transcription factors and regulatory sites	"A Powerful Tool for Identifying circRNA Coding Ability.

A Python3-base pipeline for translated circular RNA(circRNA) identification.

CircCode is a Python3-base pipeline for translated circular RNA identification. It automatically tandem links sequence in series and processes a given ribosome profile data (including quality control, filtering and alignment). Finally, based on random forest and J48 classification, the final translated circular RNA was predicted. The user only needs to fill in the given configuration file and run the python scripts to get the predicted translated circular RNA"	False	True	False
asaim	asaim	EDAM_topics	Metagenomics in EDAM Topics	True	Sequence analysis, Sequence visualisation	Data visualisation, Metagenomics, Microbiology, Sequencing	Galaxy-based framework to analyze microbiota data.	False	True	False
pipmir	pipmir	biocontainers_keywords	profiling in BioContainers keywords	True	microRNA detection	Transcriptomics	Algorithm to identify novel plant miRNA genes from a combination of deep sequencing data and genomic features.	True	True	False
gretel	gretel	EDAM_topics	Metagenomics in EDAM Topics	True	Haplotype mapping, Parsing, Sequence assembly	DNA polymorphism, Metagenomics, Metatranscriptomics, Microbial ecology, Sequence assembly	"On the complexity of haplotyping a microbial community.

An algorithm for recovering haplotypes from metagenomes. Sister to Hansel.

Gretel is a Python package providing a command line tool for the recovery of haplotypes from metagenomic data sets. Gretel parses an alignment of reads into a Hansel matrix and uses the evidence of SNP pairs observed to appear on the same reads to probabilistically reconstruct the most likely haplotypes."	True	True	False
bioconductor-makecdfenv		biocontainers_keywords	profiling in BioContainers keywords	True			Bioconductor cdf environment maker	True	False	False
drvm	drvm	EDAM_topics	Metagenomics in EDAM Topics	True	Genome assembly	Genomics, Metagenomics, Sequence assembly, Virology	Efficient genome assembly of known eukaryotic viruses from metagenomes.	False	True	False
midas2	midas2	EDAM_topics	Metagenomics in EDAM Topics	True	Genotyping, Sample comparison, Variant calling	Copy number variation, Genotype and phenotype, Metagenomic sequencing, Metagenomics, Workflows	Metagenomic Intra-species Diversity Analysis System.	False	True	False
modphred	modphred	biotools_description	profiles in bio.tools description	True	Gene expression profiling, PTM site prediction, Visualisation	DNA, Epigenetics, RNA, RNA-Seq, Workflows	ModPhred is an integrative toolkit for the analysis and storage of nanopore sequencing DNA and RNA modification data. modPhred is a pipeline for detection, annotation and visualisation of DNA/RNA modifications from raw ONT data. The pipeline consists of four steps / modules: modEncode (Encoding modification probabilities in FastQ), modAlign (Build alignments keeping modification information in BAMs), modReport (Extraction of RNA modification information and QC reports), and modAnalysis (Plotting venn diagrams (mod_plot.py), co-occurrence of modifications and per-read clustering based on modification profiles).	False	True	False
sketching-based	sketching-based	EDAM_topics	Metagenomics in EDAM Topics	True	Query and retrieval, Read mapping, k-mer counting	DNA polymorphism, Metagenomic sequencing, Metagenomics, Microbial ecology, Sequence assembly	Sketching and sampling approaches for fast and accurate long read classification.	False	True	False
singscore	singscore	biotools_description	profile in bio.tools description	True	Gene-set enrichment analysis, Statistical calculation	Gene expression	A simple single-sample gene signature scoring method that uses rank-based statistics to analyze the sample's gene expression profile. It scores the expression activities of gene sets at a single-sample level.	False	True	False
expam	expam	EDAM_topics	Metagenomics in EDAM Topics	True	Taxonomic classification	Metagenomic sequencing, Metagenomics, Taxonomy	expam, a tree-based, taxonomy agnostic tool for the identification of biologically relevant clades from shotgun metagenomic sequencing.	False	True	False
omaru	omaru	EDAM_topics	Metagenomics in EDAM Topics	True	Essential dynamics, Gene-set enrichment analysis, Phylogenetic analysis, Scaffolding	GWAS study, Metagenomics, Microbial ecology, Phylogenetics, Workflows	OMARU (Omnibus metagenome-wide association study with robustness) is a new end-to-end analysis workflow that covers a wide range of microbiome analysis from phylogenetic and functional profiling to case-control metagenome-wide association studies (MWAS).	False	True	False
fargene	fargene	EDAM_topics	Metagenomics in EDAM Topics	True	Antimicrobial resistance prediction	Antimicrobial resistance, Metagenomics, Microbiology, Public health and epidemiology	fARGene (Fragmented Antibiotic Resistance Gene iENntifiEr ) is a tool that takes either fragmented metagenomic data or longer sequences as input and predicts and delivers full-length antiobiotic resistance genes as output.	True	True	True
kleborate	kleborate	EDAM_topics	Metagenomics in EDAM Topics	True	Genome assembly, Multilocus sequence typing, Virulence prediction	Metagenomics, Population genomics, Public health and epidemiology, Sequence assembly, Whole genome sequencing	"Genomic surveillance framework and global population structure for Klebsiella pneumoniae.

Kleborate is a tool to screen genome assemblies of Klebsiella pneumoniae and the Klebsiella pneumoniae species complex (KpSC) for:.

A manuscript describing the Kleborate software in full is currently in preparation. In the meantime, if you use Kleborate, please cite the preprint: Lam, MMC. et al. Genomic surveillance framework and global population structure for Klebsiella pneumoniae. bioRxiv (2020)."	True	True	True
minnow	minnow	biocontainers_keywords	profiling in BioContainers keywords	True	De-novo assembly, Expression analysis, Quantification	Gene transcripts, PCR experiment, RNA-Seq	A principled framework for rapid simulation of dscRNA-seq data at the read level | Minnow ( read level simulator for dscRNA-seq data) | Most analysis pipelines validate their results using known marker genes (which are not widely available for all types of analysis) and by using simulated data from gene-count-level simulators	True	True	False
mimosa2	mimosa2	biotools_description	microbiome in bio.tools description	True	Metabolic network modelling, Metabolic pathway prediction, Relation extraction	Endocrinology and metabolism, Metabolomics, Microbial ecology, Molecular interactions, pathways and networks, Small molecules	MIMOSA2 is a tool for metabolic model-based evaluation of paired microbiome and metabolomics datasets. MIMOSA2 1) constructs community metabolic models, 2) assesses whether metabolite measurements are consistent with estimated community metabolic potential, and 3) identifies specific taxa and reactions that can explain metabolite variation.	False	True	False
sear	sear	EDAM_topics	Metagenomics in EDAM Topics	True	Antimicrobial resistance prediction	Metagenomics, Microbiology, Sequencing	Construct full-length, horizontally acquired Antibiotic Resistance Genes (ARGs) from sequencing datasets. It has been designed with environmental metagenomics and microbiome experiments in mind, where the diversity and relative abundance of ARGs need to be determined both quickly and easily.	False	True	False
metavelvet-sl-pipeline		biocontainers_keywords	metagenome in BioContainers keywords	True			Perl libraries that run the full pipeline for metavelvet-sl	True	False	False
glossary	GLOSSary	EDAM_topics	Metagenomics in EDAM Topics	True		Metagenomics, RNA	16S subunit related sequences database, identified from metagenomic efforts as part of the Tara Oceans project. It includes a BLAST search tool. The analysis system incorporates the SILVA collection, allowing comparative analyses to identify unclassified sequences and their geographical distribution.	False	True	False
glimmermg	glimmermg	EDAM_topics	Metagenomics in EDAM Topics	True	Data retrieval, Feature extraction, Gene prediction	Metagenomic sequencing, Metagenomics	"Glimmer-MG is a system for finding genes in environmental shotgun DNA
sequences. Glimmer-MG (Gene Locator and Interpolated Markov ModelER -
MetaGenomics) uses interpolated Markov models (IMMs) to identify the
coding regions and distinguish them from noncoding DNA. Licensed under Artistic License."	False	True	False
contigtax	contigtax	EDAM_topics	Metagenomics in EDAM Topics	True	Data retrieval, Sequence alignment, Taxonomic classification	Metagenomics	Assigns taxonomy to metagenomic contigs.	True	True	False
bioexcel_building_blocks_tutorials_macromolecular_coarse-grained_flexibility	bioexcel_building_blocks_tutorials_macromolecular_coarse-grained_flexibility	biotools_description	ITS in bio.tools description	True	Essential dynamics, Principal component visualisation, Protein property calculation, Protein structure analysis, Protein structure prediction, Trajectory visualization	Biomolecular simulation, Data visualisation, Sequence sites, features and motifs, Structure analysis, Structure prediction	This tutorial aims to illustrate the process of generating protein conformational ensembles from 3D structures using Coarse-Grained tools from the FlexServ server and analysing its molecular flexibility	False	True	False
megares_2.0	MEGARes_2.0	EDAM_topics	Metagenomics in EDAM Topics	True	Antimicrobial resistance prediction, Genome annotation, Taxonomic classification	Genetics, Metagenomic sequencing, Metagenomics, Microbial ecology, Public health and epidemiology	"a database for classification of antimicrobial drug, biocide and metal resistance determinants in metagenomic sequence data.

MEGAResFrom MEG, the Microbial Ecology Group.

Welcome to MEGARes: an Antimicrobial Database for High-Throughput Sequencing.

The MEGARes database contains sequence data for approximately 8,000 hand-curated antimicrobial resistance genes accompanied by an annotation structure that is optimized for use with high throughput sequencing. The acyclical annotation graph of MEGARes allows for accurate, count-based, hierarchical statistical analysis of resistance at the population level, much like microbiome analysis, and is also designed to be used as a training database for the creation of statistical classifiers (Figure 1)."	False	True	False
lucy	lucy	biotools_description	ITS in bio.tools description	True	Read pre-processing, Sequence trimming, Sequencing quality control	Data quality management	A program for DNA sequence quality trimming and vector removal. Its purpose is to process DNA sequence data acquired from DNA sequencers to prepare the data for downstream processing applications such as genome assembly.	True	True	False
colabfold	colabfold	EDAM_topics	Metagenomics in EDAM Topics	True	Database search, Fold recognition, Protein structure prediction	Metagenomics, Protein folding, stability and design, Protein folds and structural domains, Sequence sites, features and motifs, Structure prediction	ColabFold databases are MMseqs2 expandable profile databases to generate diverse multiple sequence alignments to predict protein structures.	False	True	True
ray	ray	biocontainers_keywords	metagenome in BioContainers keywords	True	Sequence assembly	Biology	De novoassembly of single genomes and metagenomes. Also analyses microbe abundance and performs taxonomic profiling as well as making gene ontology profiling. It can also compare genomic content between samples.	True	True	False
wigeon		biocontainers_description	16S in BioContainers description	True			Reimplementation of the pintail 16s dna anomaly detection utility	True	False	False
ab-cov	ab-cov	biotools_description	profiles in bio.tools description	True	Epitope mapping, Variant effect prediction, Visualisation	Data submission, annotation and curation, Genetic variation, Immunoproteins and antigens, Small molecules	A curated database for binding affinity and neutralization profiles of coronavirus related antibodies.	False	True	False
virannot	virannot	EDAM_topics	Metagenomics in EDAM Topics	True	Sequence annotation, Sequence cluster visualisation, Sequence clustering	Metagenomics, Microbial ecology, Virology	"VirAnnot was build to ease the assembly, blast search, taxonomic annotation and OTUs assignation of viral metagenomic HTS data. It is used in Virologie team of UMR1332 BFP laboratory at INRAE. VirAnnot also takes part of the Euphresco project ""Plant Health Bioinformatics Network"". See more.

It is designed to identify viruses in plant metagenomic data but it can be used to assemble and annotate any sequences with the NCBI taxonomy."	False	True	True
barleynet	barleynet	EDAM_topics	Metagenomics in EDAM Topics	True	Expression analysis, Homology-based gene prediction, Network analysis	Genetics, Metagenomics, Molecular interactions, pathways and networks, Plant biology, Proteomics	BarleyNet is a co-functional gene network with a companion web server for network-assisted systems genetics analysis of cultivated barley. It is a Bayesian statistics-based combination of a wide range of biological data, including the genomic information of the latest IBSC_v2 genome and barley-specific gene expression profiles. It is able to prioritize novel genes for biological trait of interest or infer functions of unannotated barley genes by combining prior knowledge from forward- or reverse-genetics studies of user with the information included in BarleyNet via three in silico gene/function prioritization algorithms implemented in BarleyNet web server.	False	True	False
imageplane	imageplane	biotools_description	ITS in bio.tools description	True	Image analysis	Imaging, Neurobiology, Zoology	Python based image analysis software designed for the automated analysis of images of the animal S. mediterranea. This software allows the animals’s neoblasts to be quantified and tested for assymetries along its veritcal and hoizontal axes. ImagePlane also allows simple mophology categorizations to be made based on the overall shape of the animal.	False	True	False
grasp	grasp	biotools_description	metagenomic in bio.tools description	True	Annotation, Query, Sequence assembly	Assembly, NGS, Peptides, Studies	GRASP is a gene annotation tool for metagenomic studies. GRASP assembles the fragmented short-peptides, which are called from the NGS reads, and aligns the assembled contigs to the query reference protein. GRASP achieves much higher sensitivity than BLASTP for gene annotation purpose.	False	True	False
itsx	itsx	biocontainers_keywords	metagenomics in BioContainers keywords	True	Sequence feature detection	Functional, regulatory and non-coding RNA, Microbiology	TSx is an open source software utility to extract the highly variable ITS1 and ITS2 subregions from ITS sequences, which is commonly used as a molecular barcode for e.g. fungi. As the inclusion of parts of the neighbouring, very conserved, ribosomal genes (SSU, 5S and LSU rRNA sequences) in the sequence identification process can lead to severely misleading results, ITSx identifies and extracts only the ITS regions themselves.	True	True	True
bioconductor-genomeintervals		biocontainers_keywords	profiling in BioContainers keywords	True			Operations on genomic intervals	True	False	False
bioconductor-hiannotator		biocontainers_keywords	profiling in BioContainers keywords	True			Functions for annotating GRanges objects	True	False	False
ngsreadstreatment	NGSReadsTreatment	EDAM_topics	Metagenomics in EDAM Topics	True	Chemical redundancy removal, Scaffolding, Sequence redundancy removal	Metagenomics, Sequence assembly, Sequencing	A Cuckoo Filter-based Tool for Removing Duplicate Reads in NGS Data | NGSReadsTreatment, a computational tool for the removal of duplicated reads in paired-end or single-end datasets. NGSReadsTreatment can handle reads from any platform with the same or different sequence lengths. Using the probabilistic structure Cuckoo Filter, the redundant reads are identified and removed by comparing the reads with themselves. Thus, no prerequisite is required beyond the set of reads. NGSReadsTreatment was compared with other redundancy removal tools in analyzing different sets of reads. The results demonstrated that NGSReadsTreatment was better than the other tools in both the amount of redundancies removed and the use of computational memory for all analyses performed	False	True	False
binning_refiner	binning_refiner	EDAM_topics	Metagenomics in EDAM Topics	True	Read binning, Sequence clustering	Metagenomics, Microbial ecology, Sequence assembly	Improving genome bins through the combination of different binning programs	False	True	True
bioconductor-sc3		biocontainers_keywords	profiling in BioContainers keywords	True			Single-Cell Consensus Clustering	True	False	False
bpla_kernel	bpla_kernel	biotools_description	profile in bio.tools description	True	Clustering, Local alignment	RNA, RNA-Seq, Sequencing	Base-pairing profile local alignment is a powerful method that evaluates the similarity between a pair of RNAs taking into account secondary structure information. Based on the accurate similarity calculated by BPLA kernel, you can perform a broad range of structural RNA analysis, including family prediction, hierarchical clustering, and remote homology search.	False	True	False
rjmcmcnucleosomes	rjmcmcnucleosomes	biotools_description	profiling in bio.tools description	True	Gene expression profiling	ChIP-seq, DNA packaging, Sequencing	This package does nucleosome positioning using informative Multinomial-Dirichlet prior in a t-mixture with reversible jump estimation of nucleosome positions for genome-wide profiling.	False	True	False
bioconductor-quantro		biocontainers_keywords	profiling in BioContainers keywords	True			A test for when to use quantile normalization	True	False	False
magpy	magpy	EDAM_topics	Metagenomics in EDAM Topics	True	Genome annotation, Phylogenetic tree annotation, Sequence assembly	Metagenomics, Phylogenetics, Sequence assembly, Taxonomy	MAGpy is a Snakemake pipeline for downstream analysis of metagenome-assembled genomes (MAGs).	False	True	False
epga	epga	biotools_description	profiles in bio.tools description	True	Data handling, Visualisation	Genotype and phenotype, Personalised medicine, Pharmacogenomics, Rare diseases	Electronic Pharmacogenomics Assistant (ePGA) - browsing pharmacogenomics knowledge on gene-drug-phenotype associations and matching individual genotype-profiles with gene haplotypes and infering the corresponding diplotype and phenotype profiles.	False	True	False
qiime	qiime	biocontainers_keywords	16s in BioContainers keywords	True	Analysis	Biology	Open-source bioinformatics pipeline for performing microbiome analysis from raw DNA sequencing data. The pipeline is designed to take users from raw sequencing data generated on the Illumina or other platforms through publication quality graphics and statistics. This includes demultiplexing and quality filtering, OTU picking, taxonomic assignment, and phylogenetic reconstruction, and diversity analyses and visualizations.	True	True	False
bioconductor-dmrforpairs		biocontainers_description	profiles in BioContainers description	True			DMRforPairs: identifying Differentially Methylated Regions between unique samples using array based methylation profiles	True	False	False
phare	phare	biotools_description	profiling in bio.tools description	True	Haplotype mapping, Validation, Variant calling	Genetic variation, Paediatrics, Sequencing, Workflows	A bioinformatics pipeline for compositional profiling of multiclonal Plasmodium falciparum infections from long-read Nanopore sequencing data.	False	True	False
bioconductor-geneplast		biocontainers_keywords	profiling in BioContainers keywords	True			Evolutionary and plasticity analysis of orthologous groups	True	False	False
profkin	profkin	biotools_description	profiling in bio.tools description	True	Molecular docking, Phylogenetic tree visualisation, Query and retrieval	Drug discovery, Molecular modelling, Pharmacology, Phylogenetics, Small molecules	"A Comprehensive Web Server for Structure-based Kinase Selectivity Profiling.

Kinase profiling is an efficient strategy for kinase inhibitor discovery, polypharmacological drug discovery and drug repositioning. A variety of methods have been established for kinase profiling, of which the combined mode of experimental and computational approaches is attractive, particularly in the early drug discovery. With the increasing number of kinase-inhibitor complex structures, structure-based kinase profiling is of great interest. To fully exploit the potential of structure-based kinase profiling in drug discovery and drug repositioning, we developed a versatile web server, termed ProfKin, for structure-based kinase profiling for small molecules of interest, which is established based on an in-house comprehensive structural database (KinLigDB) of manually curated kinase-ligand complex structures and associated information."	False	True	False
markermag	markermag	EDAM_topics	Metagenomics in EDAM Topics	True	Copy number estimation, Read mapping, Sequence assembly	Functional, regulatory and non-coding RNA, Mapping, Metagenomics, Phylogenetics	Linking metagenome-assembled genomes (MAGs) with 16S rRNA marker genes using paired-end short reads.	False	True	False
omicflow	omicflow	EDAM_topics	Metagenomics in EDAM Topics	True		Metagenomics, Microbial ecology, Proteomics	A generalised data structure for fast and efficient loading and data munching of sparse omics data. The 'OmicFlow' requires an up-front validated metadata template from the user,  which serves as a guide to connect all the pieces together by aligning them into a single object that is defined as an 'omics' class. Once this unified structure is established, users can perform manual subsetting, visualization, and statistical analysis, or leverage the automated 'autoFlow' method to generate a comprehensive report.	False	True	False
qc3c	qc3c	EDAM_topics	Metagenomics in EDAM Topics	True	Genome assembly, Scaffolding, Sequencing quality control, k-mer counting	DNA, Enzymes, Metagenomics, Sequence assembly, Sequencing	"qc3C - reference-free quality control for Hi-C DNA sequencing libraries.

The primary aim of qc3C is to infer the proportion of ""signal"" within a Hi-C sequencing library and thereby provide a means of quality control. A big advantange of qc3C is that this can be done without access to a reference sequence, which until now has been a significant stopping point for projects not involving model organisms."	False	True	False
rnatracker	RNATracker	biotools_description	ITS in bio.tools description	True	Subcellular localisation prediction, cis-regulatory element prediction, trans-regulatory element prediction	Gene expression, Gene transcripts, Machine learning	Prediction of mRNA subcellular localization using deep recurrent neural networks | RNATracker is a deep learning approach to learn mRNA subcellular localization patterns and to infer its outcome. It operates on the cDNA of the longest isoformic protein-coding transcript of a gene with or without its corresponding secondary structure annnotations. The learning targets are fractions/percentage of the transcripts being localized to a fixed set of subcellular compartments of interest	False	True	False
bioconductor-roar		biocontainers_keywords	profiling in BioContainers keywords	True			Identify differential APA usage from RNA-seq alignments	True	False	False
isyte	iSyTE	biotools_description	profiling in bio.tools description	True	Differential protein expression analysis, Expression analysis, Protein identification, Spectral counting	Pathology, Protein expression, Proteomics, Proteomics experiment, Sequence analysis	"MS/MS in silico subtraction-based proteomic profiling as an approach to facilitate disease gene discovery.

A free resource for expression-based gene discovery in the eye"	False	True	False
idna6ma-rice	iDNA6mA-Rice	biotools_description	ITS in bio.tools description	True	Transcriptional regulatory element prediction	DNA, Epigenetics, Gene expression	A Computational Tool for Detecting N6-Methyladenine Sites in Rice | Home About us Web-Server Contact us Download Citation | 6mA is formed by transferring methyl groups to the 6th position of the adenine ring catalyzed by methyl-transferases. It is a non-canonical DNA modification that is present at low levels in different eukaryotes. 6mA possesses similar characteristics between prokaryotes and eukaryotes. Its functions display diversity, such as guiding the discrimination between original and newly synthesized DNA strand after replication, regulating gene transcription and repressing transposable elements; in the cell cycle, reducing the stability of base pairings for opening DNA duplexes. Strikingly, the protection from methylation is an inherited state that, however, can be modified by environmental conditions	False	True	False
args-osp	args-osp	EDAM_topics	Metagenomics in EDAM Topics	True	Antimicrobial resistance prediction, Database search, Expression analysis, Standardisation and normalisation	Cladistics, Genetics, Metagenomics, Microbial ecology, Phylogenetics	Online searching platform for the antibiotic resistome in bacterial tree of life and global habitats. Antibiotic-resistant genes (ARGs) have emerged as one of the top global concerns in both medical and environmental fields.	False	True	False
metapr2	metapr2	biotools_description	metabarcodes in bio.tools description	True			The metaPR2 database contains processed 18S rRNA metabarcodes that are annotated with the PR2 reference sequence database. Version 2.0 of the database contains 41 datasets corresponding to more than 6,000 samples and 90,000 ASVs. The database is accessible through both a web-based interface (https://app.metapr2.org) and an R package.	False	True	False
test-ci		biocontainers_keywords	metagenome in BioContainers keywords	True			A test container for internal testing	True	False	False
dnasize	dnasize	biotools_description	ITS in bio.tools description	True	Analysis	Computational biology	This web-server allow to compute the length of DNA or protein fragments from its electropheric mobility using a graphical method. It is based on computer program DNASIZE	False	True	False
prdos	prdos	biotools_description	ITS in bio.tools description	True	Protein feature detection, Protein secondary structure prediction, Protein secondary structure prediction (coils), Residue interaction prediction	Protein disordered structure, Protein folds and structural domains, Proteins, Small molecules, Structure prediction	PrDOS (Protein Disorder Prediction Server) is a server to predict the disordered regions of a protein from its amino acid sequence.	False	True	False
dbgraph		biocontainers_keywords	metagenome in BioContainers keywords	True			A graph-centric approach for metagenome-guided peptide identification in metaproteomics. 	True	False	False
peptideminer	peptideminer	biotools_description	profile in bio.tools description	True			PeptideMiner is a pipeline that uses profile hidden Markov models (profile-HMMs) of neuropeptide families to search query datasets for neuropeptide homologues.	False	True	False
co-amppred	co-amppred	biotools_description	antimicrobial in bio.tools description	True	Feature selection, Protein secondary structure prediction, Protein signal peptide detection	Machine learning, Small molecules, Workflows	Co-AMPpred (composition-based antimicrobial peptide prediction); in silico-aided predictions of antimicrobial peptides by integrating composition-based features	False	True	False
bioconductor-soggi		biocontainers_keywords	profiling in BioContainers keywords	True			Visualise ChIP-seq, MNase-seq and motif occurrence as aggregate plots Summarised Over Grouped Genomic Intervals	True	False	False
emgb	emgb	EDAM_topics	Metagenomics in EDAM Topics	True	Filtering, Phylogenetic tree comparison, Sequence comparison, Sequence feature comparison, Visualisation	Metagenomics	EMGB is a CWL-based workflow for metagenomics analyses including a web-based interface for filtering ind querying analysis results	False	True	False
bioconductor-streamer		biocontainers_keywords	profiling in BioContainers keywords	True			Enabling stream processing of large files	True	False	False
sable	sable	biotools_description	profiles in bio.tools description	True	Protein sequence analysis, Protein structure prediction	Protein folds and structural domains, Protein structure analysis, Structure prediction	This server can be used for predicting real valued relative solvent possibilities of amino acid residues in proteins, and for improved prediction of secondary structures using evolutionary profiles and predicted relative solvent accessibility of an amino acid residue as a fingerprint of the overall packing.	False	True	False
orthograph	orthograph	biotools_description	profile in bio.tools description	True	Local alignment, Transcriptome assembly	Mapping, RNA-seq, Transcriptomics	Applies reciprocal hit search strategy using profile hidden Markov models and maps nucleotide sequences to the globally best matching cluster of orthologous genes, thus enabling researchers to conveniently and reliably delineate orthologs and paralogs from transcriptomic and genomic sequence data.	False	True	False
divcom	divcom	biotools_description	profiles in bio.tools description	True	Clustering, Quantification, Statistical calculation	Microbial ecology, Model organisms, Phylogenetics	A Tool for Systematic Partition of Groups of Microbial Profiles Into Intrinsic Subclusters and Distance-Based Subgroup Comparisons.	False	True	False
bioconductor-covrna		biocontainers_keywords	profiling in BioContainers keywords	True			Multivariate Analysis of Transcriptomic Data	True	False	False
netmatchstar	netmatchstar	biotools_description	ITS in bio.tools description	True	Metabolic network modelling, Query and retrieval	Molecular interactions, pathways and networks, Transcription factors and regulatory sites	Find all the occurrences of a query graph in a network and check for its significance as a motif with respect to seven different random models.	False	True	False
dgat-onco	dgat-onco	biotools_description	profile in bio.tools description	True	Gene-set enrichment analysis, Imputation, Variant calling, Virulence prediction	Gene expression, Genetic variation, Mathematics, Oncology	DGAT-onco is a tool designed to detect oncogenes by comparing the functional impacts profile between cancer population and natural population.	False	True	False
