package.name	keep	about.summary	about.description	about.home
valet	False	Pipeline for detecting mis-assemblies in metagenomic assemblies		https://github.com/marbl/VALET
marker-magu	False	Marker-MAGu: Trans-Kingdom Marker Gene Pipeline for Taxonomic Profiling of Human Metagenomes		https://github.com/cmmr/Marker-MAGu
bioconductor-cliprofiler	False	A package for the CLIP data visualization	An easy and fast way to visualize and profile the high-throughput IP data. This package generates the meta gene profile and other profiles. These profiles could provide valuable information for understanding the IP experiment results.	https://bioconductor.org/packages/3.20/bioc/html/cliProfiler.html
metaquant	False	Quantitative microbiome analysis		The package home page
macrel	False	A pipeline for AMP (antimicrobial peptide) prediction	"Used for the prediction of AMPs in (meta)genomes.
"	https://github.com/BigDataBiology/macrel
calour	False	exploratory and interactive microbiome analyses based on heatmaps	"Calour is a python package for processing, analysis and interactive
exploration of microbiome (and other matrix form data),
incorporating external databases.
"	https://biocore.github.io/calour/
bioconductor-scope	False	A normalization and copy number estimation method for single-cell DNA sequencing	Whole genome single-cell DNA sequencing (scDNA-seq) enables characterization of copy number profiles at the cellular level. This circumvents the averaging effects associated with bulk-tissue sequencing and has increased resolution yet decreased ambiguity in deconvolving cancer subclones and elucidating cancer evolutionary history. ScDNA-seq data is, however, sparse, noisy, and highly variable even within a homogeneous cell population, due to the biases and artifacts that are introduced during the library preparation and sequencing procedure. Here, we propose SCOPE, a normalization and copy number estimation method for scDNA-seq data. The distinguishing features of SCOPE include: (i) utilization of cell-specific Gini coefficients for quality controls and for identification of normal/diploid cells, which are further used as negative control samples in a Poisson latent factor model for normalization; (ii) modeling of GC content bias using an expectation-maximization algorithm embedded in the Poisson generalized linear models, which accounts for the different copy number states along the genome; (iii) a cross-sample iterative segmentation procedure to identify breakpoints that are shared across cells from the same genetic background.	https://bioconductor.org/packages/3.20/bioc/html/SCOPE.html
idba_subasm	False	Fork of IDBA with modifications to perform subassembly for the read cloud metagenomic assembler Athena		https://github.com/abishara/idba
pathracer	False	PathRacer is a tool for alignment of profile HMM against assembly graph.	"PathRacer is a novel standalone tool that aligns profile HMM directly to the assembly graph (performing the codon translation on fly for amino acid 
pHMMs). The tool provides the set of most probable paths traversed by a HMM through the whole assembly graph, regardless whether the sequence of 
interested is encoded on the single contig or scattered across the set of edges, therefore significantly improving the recovery of sequences of 
interest even from fragmented metagenome assemblies.
"	http://cab.spbu.ru/software/pathracer/
eukrep	False	Classification of Eukaryotic and Prokaryotic sequences from metagenomic datasets		https://github.com/patrickwest/EukRep
cat	False	"CAT/BAT: tool for taxonomic classification of contigs and metagenome-assembled genomes (MAGs)
"		https://github.com/MGXlab/CAT_pack
riboraptor	False	Python package to analyse ribosome profiling data		https://github.com/saketkc/riboraptor
bioconductor-hmp16sdata	False	16S rRNA Sequencing Data from the Human Microbiome Project	HMP16SData is a Bioconductor ExperimentData package of the Human Microbiome Project (HMP) 16S rRNA sequencing data for variable regions 1–3 and 3–5. Raw data files are provided in the package as downloaded from the HMP Data Analysis and Coordination Center. Processed data is provided as SummarizedExperiment class objects via ExperimentHub.	https://bioconductor.org/packages/3.20/data/experiment/html/HMP16SData.html
magmax	False	MAGmax is a robust tool for dereplicating MAGs through bin merging and reassembly.		https://github.com/soedinglab/MAGmax
viramp-hub	False	VirAmp-Hub lets you manipulate/convert viral amplicon/primer scheme information.		https://github.com/wm75/viramp-hub
ribotaper	False	RiboTaper is a new analysis pipeline for Ribosome Profiling (Ribo-seq) experiments, which exploits the triplet periodicity of ribosomal footprints to call translated regions.		https://ohlerlab.mdc-berlin.de/software/RiboTaper_126/
bioconductor-compran	False	Complexome Profiling Analysis package	This package is for analysis of SILAC labeled complexome profiling data. It uses peptide table in tab-delimited format as an input and produces ready-to-use tables and plots.	https://bioconductor.org/packages/3.20/bioc/html/ComPrAn.html
bioconductor-methylscaper	False	Visualization of Methylation Data	methylscaper is an R package for processing and visualizing data jointly profiling methylation and chromatin accessibility (MAPit, NOMe-seq, scNMT-seq, nanoNOMe, etc.). The package supports both single-cell and single-molecule data, and a common interface for jointly visualizing both data types through the generation of ordered representational methylation-state matrices. The Shiny app allows for an interactive seriation process of refinement and re-weighting that optimally orders the cells or DNA molecules to discover methylation patterns and nucleosome positioning.	https://bioconductor.org/packages/3.20/bioc/html/methylscaper.html
sparcc	False	SparCC is a python module for computing correlations in compositional data (16S, metagenomics, etc).		https://bitbucket.org/yonatanf/sparcc
bioconductor-nempi	False	Inferring unobserved perturbations from gene expression data	Takes as input an incomplete perturbation profile and differential gene expression in log odds and infers unobserved perturbations and augments observed ones. The inference is done by iteratively inferring a network from the perturbations and inferring perturbations from the network. The network inference is done by Nested Effects Models.	https://bioconductor.org/packages/3.20/bioc/html/nempi.html
align_trim	False	ARTIC align_trim: A tool for trimming amplicon sequencing primers from aligned reads.		https://github.com/artic-network/align_trim
ncbi-amrfinderplus	False	AMRFinderPlus finds antimicrobial resistance and other genes in protein or nucleotide sequences.	"This software and the accompanying database are designed to
find acquired antimicrobial resistance genes in bacterial protein or
nucleotide sequences as well as known point mutations for several taxa. With
AMRFinderPlus we have added select members of additional classes of genes
such as virulence factors, biocide, heat, acid, and metal resistance genes.
"	https://github.com/ncbi/amr
iqkm	False	Identification and quantification of KEGG Modules in metagenomes/genomes		https://github.com/lijingdi/iqKM
aviary	False	aviary - Metagenomics pipeline using long and short reads.	"Aviary is an easy to use hybrid assembler and metagenomic pipeline

For more details see documentation: https://rhysnewell.github.io/aviary."	https://github.com/rhysnewell/aviary
kpal	False	Analysis toolkit and programming library for k-mer profiles		https://kpal.readthedocs.org
prophyle	False	ProPhyle is an accurate, resource-frugal and deterministic phylogeny-based metagenomic classifier.		https://github.com/karel-brinda/prophyle
squeegee	False	squeegee, de novo computational contamination detection tool for metagenomic samples		https://gitlab.com/treangenlab/squeegee
graphbin	False	GraphBin: Refined binning of metagenomic contigs using assembly graphs	"GraphBin is a metagenomic contig bin-refinement tool that makes use of assembly graphs.
"	https://github.com/Vini2/GraphBin
metator	False	Metagenomic binning based on Hi-C data.		https://github.com/koszullab/metator
hymet	False	HYMET provides hybrid Mash+minimap2 metagenomic classification with benchmark and case-study tooling.	"HYMET couples Mash candidate filtering, minimap2 alignment, and a weighted LCA resolver to classify contigs
and reads. The project bundles the new Python CLI (`bin/hymet`), the legacy Perl pipeline, CAMI benchmark
harnesses, and case-study analysis scripts so users can reproduce the published experiments directly.
"	https://github.com/ieeta-pt/HYMET
mpa-server	False	Independent platform for interpretation of proteomics identification results	"MetaProteomeAnalyzer (MPA) is a scientific software for analyzing and visualizing metaproteomics (and also
proteomics) data. The tool presents a MS/MS spectrum data processing application for protein identification in
combination with a user-friendly interactive graphical interface. The metaproteomics data analysis software is
developed in the Java programming language and provides various features for user-defined querying of the
results.
"	https://github.com/compomics/meta-proteome-analyzer
fegenie	False	HMM-based identification and categorization of iron genes and iron gene operons in genomes and metagenomes.		https://github.com/Arkadiy-Garber/FeGenie
metagene_annotator	False	MetaGeneAnnotator is a gene-finding program for prokaryote and phage		http://metagene.nig.ac.jp/
mess	False	Snakemake pipeline for simulating shotgun metagenomic samples		https://github.com/metagenlab/MeSS
bioconductor-cellscore	False	Tool for Evaluation of Cell Identity from Transcription Profiles	The CellScore package contains functions to evaluate the cell identity of a test sample, given a cell transition defined with a starting (donor) cell type and a desired target cell type. The evaluation is based upon a scoring system, which uses a set of standard samples of known cell types, as the reference set. The functions have been carried out on a large set of microarray data from one platform (Affymetrix Human Genome U133 Plus 2.0). In principle, the method could be applied to any expression dataset, provided that there are a sufficient number of standard samples and that the data are normalized.	https://bioconductor.org/packages/3.20/bioc/html/CellScore.html
gbintk	False	GraphBin-Tk: assembly graph-based metagenomic binning toolkit	"GraphBin-Tk is a toolkit that combines assembly graph-based metagenomic bin-refinement and binning techniques GraphBin, GraphBin2 and MetaCoAG.
"	https://github.com/metagentools/gbintk
marbel	False	Marbel generates realistic in silico metatranscriptomic dataset based on specified parameters.		https://github.com/jlab/marbel
metabinner	False	Ensemble binning method to recover individual genomes from complex microbial communities		https://github.com/ziyewang/MetaBinner
agtools	False	agtools: A Software Framework to Manipulate Assembly Graphs	"agtools is a Python framework for manipulating assembly graphs for downstream metagenomic applications, with a focus on the Graphical Fragment Assembly (GFA) format.
"	https://github.com/Vini2/agtools
metaphor	False	Metaphor - Metagenomic Pipeline for Short Reads	"
# Metaphor - Metagenomic Pipeline for sHOrt Reads


Metaphor is a Snakemake-based, general-purpose workflow for assembly and binning of metagenomes. To learn how to use it, please refer to the [docs page](https://metaphor-workflow.readthedocs.io/).
"	https://github.com/vinisalazar/metaphor
bioconductor-tcgacrcmrna	False	TCGA CRC 450 mRNA dataset	colorectal cancer mRNA profile provided by TCGA	https://bioconductor.org/packages/3.20/data/experiment/html/TCGAcrcmRNA.html
floria	False	Floria is method for recovering strain-level haplotypes and clusters of reads from metagenomic short or long read sequencing data by haplotype phasing.		https://github.com/bluenote-1577/floria
covsonar	False	A database-driven system for handling genomic sequences and screening genomic profiles.		https://github.com/rki-mf1/covsonar
cami-opal	False	OPAL assesses and compares the performance of taxonomic metagenome profilers.		http://cami-challenge.org
bioconductor-cellbarcode	False	Cellular DNA Barcode Analysis toolkit	The package CellBarcode performs Cellular DNA Barcode analysis. It can handle all kinds of DNA barcodes, as long as the barcode is within a single sequencing read and has a pattern that can be matched by a regular expression. \code{CellBarcode} can handle barcodes with flexible lengths, with or without UMI (unique molecular identifier). This tool also can be used for pre-processing some amplicon data such as CRISPR gRNA screening, immune repertoire sequencing, and metagenome data.	https://bioconductor.org/packages/3.20/bioc/html/CellBarcode.html
metacerberus-lite	False	MetaCerberus with reduced dependencies: Versatile Functional Ontology Assignments for Metagenomes via Hidden Markov Model (HMM) searching with environmental focus of shotgun meta'omics data		https://github.com/raw-lab/metacerberus
recentrifuge	False	Robust comparative analysis and contamination removal for metagenomics.		https://github.com/khyox/recentrifuge
hecatomb	False	Hecatomb: and end-to-end platform for viral metagenomics	"Hecatomb accelerates viral metagenomics research by assembling contigs and accurately identifying viruses from a
range of sequencing data types.
"	https://github.com/shandley/hecatomb
swarm	False	A robust and fast clustering method for amplicon-based studies.		https://github.com/torognes/swarm
bioconductor-dcgsa	False	Distance-correlation based Gene Set Analysis for longitudinal gene expression profiles	Distance-correlation based Gene Set Analysis for longitudinal gene expression profiles. In longitudinal studies, the gene expression profiles were collected at each visit from each subject and hence there are multiple measurements of the gene expression profiles for each subject. The dcGSA package could be used to assess the associations between gene sets and clinical outcomes of interest by fully taking advantage of the longitudinal nature of both the gene expression profiles and clinical outcomes.	https://bioconductor.org/packages/3.20/bioc/html/dcGSA.html
unassigner	False	Type strain identification for 16S reads		https://github.com/PennChopMicrobiomeProgram/unassigner
bioconductor-prince	False	Predicting Interactomes from Co-Elution	PrInCE (Predicting Interactomes from Co-Elution) uses a naive Bayes classifier trained on dataset-derived features to recover protein-protein interactions from co-elution chromatogram profiles. This package contains the R implementation of PrInCE.	https://bioconductor.org/packages/3.20/bioc/html/PrInCE.html
bioconductor-monalisa	False	Binned Motif Enrichment Analysis and Visualization	Useful functions to work with sequence motifs in the analysis of genomics data. These include methods to annotate genomic regions or sequences with predicted motif hits and to identify motifs that drive observed changes in accessibility or expression. Functions to produce informative visualizations of the obtained results are also provided.	https://bioconductor.org/packages/3.20/bioc/html/monaLisa.html
bioconductor-eegc	False	Engineering Evaluation by Gene Categorization (eegc)	This package has been developed to evaluate cellular engineering processes for direct differentiation of stem cells or conversion (transdifferentiation) of somatic cells to primary cells based on high throughput gene expression data screened either by DNA microarray or RNA sequencing. The package takes gene expression profiles as inputs from three types of samples: (i) somatic or stem cells to be (trans)differentiated (input of the engineering process), (ii) induced cells to be evaluated (output of the engineering process) and (iii) target primary cells (reference for the output). The package performs differential gene expression analysis for each pair-wise sample comparison to identify and evaluate the transcriptional differences among the 3 types of samples (input, output, reference). The ideal goal is to have induced and primary reference cell showing overlapping profiles, both very different from the original cells.	https://bioconductor.org/packages/3.17/bioc/html/eegc.html
graphbin2	False	GraphBin2: Refined and Overlapped Binning of Metagenomic Contigs Using Assembly Graphs	"GraphBin2 is a metagenomic contig bin-refinement tool that makes use of assembly graphs and can assign contigs to multiple bins.
"	https://github.com/metagentools/GraphBin2
bioconductor-profileplyr	False	Visualization and annotation of read signal over genomic ranges with profileplyr	Quick and straightforward visualization of read signal over genomic intervals is key for generating hypotheses from sequencing data sets (e.g. ChIP-seq, ATAC-seq, bisulfite/methyl-seq). Many tools both inside and outside of R and Bioconductor are available to explore these types of data, and they typically start with a bigWig or BAM file and end with some representation of the signal (e.g. heatmap). profileplyr leverages many Bioconductor tools to allow for both flexibility and additional functionality in workflows that end with visualization of the read signal.	https://bioconductor.org/packages/3.20/bioc/html/profileplyr.html
metaprokka	False	A fork of Prokka using Prodigal-GV for phage annotation and metagenome/metavirome tweaks		https://github.com/telatin/metaprokka
qimba	False	Toolkit for metabarcoding analyses		https://github.com/quadram-institute-bioscience/qimba
bioconductor-msd16s	False	Healthy and moderate to severe diarrhea 16S expression data	Gut 16S sequencing expression data from 992 healthy and moderate-to-severe diarrhetic samples used in 'Diarrhea in young children from low-income countries leads to large-scale alterations in intestinal microbiota composition'.	https://bioconductor.org/packages/3.20/data/experiment/html/msd16s.html
kmcp	False	accurate metagenomic profiling of both prokaryotic and viral populations by pseudo-mapping		https://github.com/shenwei356/kmcp
gfmix	False	Accelerated Estimation of Frequency Classes in Site-heterogeneous Profile Mixture Models		https://www.mathstat.dal.ca/~tsusko/doc/gfmix.pdf
bioconductor-icetea	False	Integrating Cap Enrichment with Transcript Expression Analysis	icetea (Integrating Cap Enrichment with Transcript Expression Analysis) provides functions for end-to-end analysis of multiple 5'-profiling methods such as CAGE, RAMPAGE and MAPCap, beginning from raw reads to detection of transcription start sites using replicates. It also allows performing differential TSS detection between group of samples, therefore, integrating the mRNA cap enrichment information with transcript expression analysis.	https://bioconductor.org/packages/3.20/bioc/html/icetea.html
simka	False	Simka and simkaMin are de novo comparative metagenomics tools. Simka represents each dataset as a k-mer spectrum and computes several classical ecological distances between them. SimkaMin outputs approximate (but very similar) results by subsampling the kmer space and requires much less computational resources.		https://github.com/GATB/simka
bioconductor-mpfe	False	Estimation of the amplicon methylation pattern distribution from bisulphite sequencing data	Estimate distribution of methylation patterns from a table of counts from a bisulphite sequencing experiment given a non-conversion rate and read error rate.	https://bioconductor.org/packages/3.20/bioc/html/MPFE.html
bioconductor-perfect	False	Permutation filtration for microbiome data	PERFect is a novel permutation filtering approach designed to address two unsolved problems in microbiome data processing: (i) define and quantify loss due to filtering by implementing thresholds, and (ii) introduce and evaluate a permutation test for filtering loss to provide a measure of excessive filtering.	https://bioconductor.org/packages/3.17/bioc/html/PERFect.html
bioconductor-oscope	False	Oscope - A statistical pipeline for identifying oscillatory genes in unsynchronized single cell RNA-seq	Oscope is a statistical pipeline developed to identifying and recovering the base cycle profiles of oscillating genes in an unsynchronized single cell RNA-seq experiment. The Oscope pipeline includes three modules: a sine model module to search for candidate oscillator pairs; a K-medoids clustering module to cluster candidate oscillators into groups; and an extended nearest insertion module to recover the base cycle order for each oscillator group.	https://bioconductor.org/packages/3.20/bioc/html/Oscope.html
bioconductor-pigengene	False	Infers biological signatures from gene expression data	Pigengene package provides an efficient way to infer biological signatures from gene expression profiles. The signatures are independent from the underlying platform, e.g., the input can be microarray or RNA Seq data. It can even infer the signatures using data from one platform, and evaluate them on the other. Pigengene identifies the modules (clusters) of highly coexpressed genes using coexpression network analysis, summarizes the biological information of each module in an eigengene, learns a Bayesian network that models the probabilistic dependencies between modules, and builds a decision tree based on the expression of eigengenes.	https://bioconductor.org/packages/3.20/bioc/html/Pigengene.html
virprof	False	Virus Identification, Quantification and Genome Recovery from RNA-Seq NGS data	"VirProf is a dual RNA-seq analysis pipeline integrating host
expression profile generation with virus identification,
quantification, and genome recovery from host tissue RNA
sequencing data. VirProf combines an unguided metagenomic assembly
workflow with interleaved host read depletion followed by BLAST
based binning, scaffolding and classification. Application of
VirProf to poly-A selected RNA-seq data from nasal swabs with
respiratory virus qPCR data, revealed that VirProf was able to a)
quantify a range of viral infections at detection limits and
precision comparable to qPCR and b) recover complete, accurate
viral genomes suitable for phylogenetic analysis.
"	https://github.com/seiboldlab/virprof
archer	False	Pre-process amplicon data before running CLIMB workflows.		https://github.com/will-rowe/archer
bioconductor-planttfhunter	False	Identification and classification of plant transcription factors	planttfhunter is used to identify plant transcription factors (TFs) from protein sequence data and classify them into families and subfamilies using the classification scheme implemented in PlantTFDB. TFs are identified using pre-built hidden Markov model profiles for DNA-binding domains. Then, auxiliary and forbidden domains are used with DNA-binding domains to classify TFs into families and subfamilies (when applicable). Currently, TFs can be classified in 58 different TF families/subfamilies.	https://bioconductor.org/packages/3.20/bioc/html/planttfhunter.html
bioconductor-affyhgu133aexpr	False	Affymetrix Human hgu133a Array (GPL96) Expression Data Package	Contains pre-built human (GPL96) database of gene expression profiles. The gene expression data was downloaded from NCBI GEO, preprocessed and normalized consistently. The biological context of each sample was recorded and manually verified based on the sample description in GEO.	https://bioconductor.org/packages/3.20/data/experiment/html/Affyhgu133aExpr.html
livekraken	False	LiveKraken is a real-time metagenomic classifier for Illumina sequencing data.		https://gitlab.com/SimonHTausch/LiveKraken
maxbin2	False	MaxBin is software for binning assembled metagenomic sequences based on an Expectation-Maximization algorithm.		https://sourceforge.net/projects/maxbin
bioconductor-rscudo	False	Signature-based Clustering for Diagnostic Purposes	SCUDO (Signature-based Clustering for Diagnostic Purposes) is a rank-based method for the analysis of gene expression profiles for diagnostic and classification purposes. It is based on the identification of sample-specific gene signatures composed of the most up- and down-regulated genes for that sample. Starting from gene expression data, functions in this package identify sample-specific gene signatures and use them to build a graph of samples. In this graph samples are joined by edges if they have a similar expression profile, according to a pre-computed similarity matrix. The similarity between the expression profiles of two samples is computed using a method similar to GSEA. The graph of samples can then be used to perform community clustering or to perform supervised classification of samples in a testing set.	https://bioconductor.org/packages/3.20/bioc/html/rScudo.html
bioconductor-gsca	False	GSCA: Gene Set Context Analysis	GSCA takes as input several lists of activated and repressed genes. GSCA then searches through a compendium of publicly available gene expression profiles for biological contexts that are enriched with a specified pattern of gene expression. GSCA provides both traditional R functions and interactive, user-friendly user interface.	https://bioconductor.org/packages/3.20/bioc/html/GSCA.html
magpurify	False	Identify and remove incorrectly binned contigs from metagenome-assembled genomes.		https://github.com/snayfach/MAGpurify
bioconductor-meskit	False	A tool kit for dissecting cancer evolution from multi-region derived tumor biopsies via somatic alterations	MesKit provides commonly used analysis and visualization modules based on mutational data generated by multi-region sequencing (MRS). This package allows to depict mutational profiles, measure heterogeneity within or between tumors from the same patient, track evolutionary dynamics, as well as characterize mutational patterns on different levels. Shiny application was also developed for a need of GUI-based analysis. As a handy tool, MesKit can facilitate the interpretation of tumor heterogeneity and the understanding of evolutionary relationship between regions in MRS study.	https://bioconductor.org/packages/3.20/bioc/html/MesKit.html
abromics_galaxy_json_extractor	False	Tool to convert Galaxy AMR output to abromics project		https://gitlab.com/ifb-elixirfr/abromics
bioconductor-delayeddataframe	False	Delayed operation on DataFrame using standard DataFrame metaphor	Based on the standard DataFrame metaphor, we are trying to implement the feature of delayed operation on the DelayedDataFrame, with a slot of lazyIndex, which saves the mapping indexes for each column of DelayedDataFrame. Methods like show, validity check, [/[[ subsetting, rbind/cbind are implemented for DelayedDataFrame to be operated around lazyIndex. The listData slot stays untouched until a realization call e.g., DataFrame constructor OR as.list() is invoked.	https://bioconductor.org/packages/3.20/bioc/html/DelayedDataFrame.html
bioconductor-deconrnaseq	False	Deconvolution of Heterogeneous Tissue Samples for mRNA-Seq data	DeconSeq is an R package for deconvolution of heterogeneous tissues based on mRNA-Seq data. It modeled expression levels from heterogeneous cell populations in mRNA-Seq as the weighted average of expression from different constituting cell types and predicted cell type proportions of single expression profiles.	https://bioconductor.org/packages/3.20/bioc/html/DeconRNASeq.html
bioconductor-miasim	False	Microbiome Data Simulation	Microbiome time series simulation with generalized Lotka-Volterra model, Self-Organized Instability (SOI), and other models. Hubbell's Neutral model is used to determine the abundance matrix. The resulting abundance matrix is applied to (Tree)SummarizedExperiment objects.	https://bioconductor.org/packages/3.20/bioc/html/miaSim.html
emu	False	Emu is a relative abundance estimator for 16s genomic data.		https://github.com/treangenlab/emu
ribowaltz	False	Calculation of optimal P-site offsets, diagnostic analysis and visual inspection of ribosome profiling data.		https://github.com/LabTranslationalArchitectomics/riboWaltz
bioconductor-bdmmacorrect	False	Meta-analysis for the metagenomic read counts data from different cohorts	Metagenomic sequencing techniques enable quantitative analyses of the microbiome. However, combining the microbial data from these experiments is challenging due to the variations between experiments. The existing methods for correcting batch effects do not consider the interactions between variables—microbial taxa in microbial studies—and the overdispersion of the microbiome data. Therefore, they are not applicable to microbiome data. We develop a new method, Bayesian Dirichlet-multinomial regression meta-analysis (BDMMA), to simultaneously model the batch effects and detect the microbial taxa associated with phenotypes. BDMMA automatically models the dependence among microbial taxa and is robust to the high dimensionality of the microbiome and their association sparsity.	https://bioconductor.org/packages/3.17/bioc/html/BDMMAcorrect.html
brawn	False	A tool for handling repetitive insertions into sequence alignments.	A python port of MUSCLE's profile-profile mode for aligning sequences.	https://github.com/SJShaw/brawn
metacompass	False	MetaCompass: Reference-guided Assembly of Metagenomes.		https://github.com/marbl/MetaCompass
bioconductor-antiprofiles	False	Implementation of gene expression anti-profiles	Implements gene expression anti-profiles as described in Corrada Bravo et al., BMC Bioinformatics 2012, 13:272 doi:10.1186/1471-2105-13-272.	https://bioconductor.org/packages/3.20/bioc/html/antiProfiles.html
bioconductor-kebabs	False	Kernel-Based Analysis of Biological Sequences	The package provides functionality for kernel-based analysis of DNA, RNA, and amino acid sequences via SVM-based methods. As core functionality, kebabs implements following sequence kernels: spectrum kernel, mismatch kernel, gappy pair kernel, and motif kernel. Apart from an efficient implementation of standard position-independent functionality, the kernels are extended in a novel way to take the position of patterns into account for the similarity measure. Because of the flexibility of the kernel formulation, other kernels like the weighted degree kernel or the shifted weighted degree kernel with constant weighting of positions are included as special cases. An annotation-specific variant of the kernels uses annotation information placed along the sequence together with the patterns in the sequence. The package allows for the generation of a kernel matrix or an explicit feature representation in dense or sparse format for all available kernels which can be used with methods implemented in other R packages. With focus on SVM-based methods, kebabs provides a framework which simplifies the usage of existing SVM implementations in kernlab, e1071, and LiblineaR. Binary and multi-class classification as well as regression tasks can be used in a unified way without having to deal with the different functions, parameters, and formats of the selected SVM. As support for choosing hyperparameters, the package provides cross validation - including grouped cross validation, grid search and model selection functions. For easier biological interpretation of the results, the package computes feature weights for all SVMs and prediction profiles which show the contribution of individual sequence positions to the prediction result and indicate the relevance of sequence sections for the learning result and the underlying biological functions.	https://bioconductor.org/packages/3.20/bioc/html/kebabs.html
amptk	False	AMPtk: Amplicon tool kit for processing high throughput amplicon sequencing data.		https://github.com/nextgenusfs/amptk
groot	False	A tool for resistome profiling of metagenomic samples.		https://github.com/will-rowe/groot
bioconductor-glad	False	Gain and Loss Analysis of DNA	Analysis of array CGH data : detection of breakpoints in genomic profiles and assignment of a status (gain, normal or loss) to each chromosomal regions identified.	https://bioconductor.org/packages/3.20/bioc/html/GLAD.html
bioconductor-recoup	False	An R package for the creation of complex genomic profile plots	recoup calculates and plots signal profiles created from short sequence reads derived from Next Generation Sequencing technologies. The profiles provided are either sumarized curve profiles or heatmap profiles. Currently, recoup supports genomic profile plots for reads derived from ChIP-Seq and RNA-Seq experiments. The package uses ggplot2 and ComplexHeatmap graphics facilities for curve and heatmap coverage profiles respectively.	https://bioconductor.org/packages/3.20/bioc/html/recoup.html
smeg	False	Strain-level Metagenomic Estimation of Growth rate (SMEG) measures growth rates of microbial strains from complex metagenomic dataset		https://github.com/ohlab/SMEG
r-alakazam	False	Provides methods for high-throughput adaptive immune  receptor repertoire sequencing (AIRR-Seq; Rep-Seq) analysis. In  particular, immunoglobulin (Ig) sequence lineage reconstruction,  lineage topology analysis, diversity profiling, amino acid property  analysis and gene usage. Citations:  Gupta and Vander Heiden, et al (2017) <doi:10.1093/bioinformatics/btv359>, Stern, Yaari and Vander Heiden, et al (2014) <doi:10.1126/scitranslmed.3008879>.		http://alakazam.readthedocs.org
metaprob	False	assembly-assisted tool for un-supervised metagenomic binning	"MetaProb is a novel assembly-assisted tool for un-supervised metagenomic
binning. The novelty of MetaProb derives from solving a few important
problems: how to divide reads into groups of independent reads, so that
l-mer frequencies are not overestimated; how to convert l-mer counts into
probabilistic sequence signatures, that will correct for variable
distribution of l-mers, and for unbalanced groups of reads, in order to
produce better estimates of the underlying genome statistic. We show that
MetaProb is effective for both simulated and real datasets. It can
accurately (with F-measures of 87 for short reads and 97 long reads) and
efficiently bin short and long reads with varying abundance ratios.
"	https://bitbucket.org/samu661/metaprob/
bioconductor-ncgtw	False	Alignment of LC-MS Profiles by Neighbor-wise Compound-specific Graphical Time Warping with Misalignment Detection	The purpose of ncGTW is to help XCMS for LC-MS data alignment. Currently, ncGTW can detect the misaligned feature groups by XCMS, and the user can choose to realign these feature groups by ncGTW or not.	https://bioconductor.org/packages/3.20/bioc/html/ncGTW.html
sylph-tax	False	Integrating taxonomic information into the sylph metagenome profiler.		https://github.com/bluenote-1577/sylph-tax
binlorry	False	BinLorry, a flexible tool for binning and filtering sequencing reads		https://github.com/rambaut/binlorry
