package.name	keep	about.home	about.license	about.license_family	about.license_file	about.summary	build.noarch	build.number	build.script	package.version	requirements.host	requirements.run	source.sha256	source.url	test.commands	test.imports	about.description	build.rpaths	build.run_exports	extra.parent_recipe.name	extra.parent_recipe.path	extra.parent_recipe.version	source.md5	about.dev_url	build.entry_points	extra.recipe-maintainers	requirements.build	extra.identifiers	extra.notes	build.skip	extra.additional-platforms	source.patches	about.doc_url	extra.skip-lints	extra.container.extended-base	test.requires	about.recipe-maintainers	source.git_rev	source.git_url	build.binary_relocation	source	about.licence_family	about.licence_url	build.has_prefix_files	test.source_files	extra.maintainers	identifiers	build.merge_build_host	extra.authors	about.licence_file	build.script_env	about.notes	test.files	extra.additional notes identifiers	extra.autobump.enable	test.import	outputs	extra.identifies	about.doc_source_url	build.no_link	extra.documentation	extra.doi	about.license_url	extra.recipe_maintainers	source.folder	extra.watch	extra.recipe-maintainer
valet	False	https://github.com/marbl/VALET	MIT			Pipeline for detecting mis-assemblies in metagenomic assemblies	generic	5		1.0		['python <3', 'bowtie2', 'tbb =2020.2', 'samtools', 'bedtools', 'numpy', 'scipy', 'perl', 'r-base']		https://github.com/marbl/VALET/archive/v1.0.tar.gz	['valet.py -h', 'bowtie2 --help', 'samtools --help']								bc8ed448610fbc42a92ae906dcead2f9									['valet.patch']																																			
marker-magu	False	https://github.com/cmmr/Marker-MAGu	MIT		LICENSE	Marker-MAGu: Trans-Kingdom Marker Gene Pipeline for Taxonomic Profiling of Human Metagenomes	python	1	['-m pip install . --no-deps -vv']	0.4.0	['pip >=23.0', 'python >=3.8,<3.11']	['python >=3.8,<3.11', 'minimap2 >=2.21', 'python-dashing', 'bwa-mem2 >=2.2.1', 'samtools >=1.9', 'fastani >=1.3', 'coverm >=0.7.0', 'seqkit >=2.4.0', 'fastp >=0.23.2', 'r-dplyr', 'r-data.table', 'r-base', 'r-stringr', 'coreutils']	78c638aab2f34a1e6c81edd3e6654c192d4c894d49630d4412a55a5350939196	https://github.com/cmmr/marker-magu/archive/v0.4.0.tar.gz	['markermagu --version']				['None']					https://github.com/cmmr/Marker-MAGu	['markermagu = markermagu.markermagu:markermagu']	['mtisza1']																																									
bioconductor-cliprofiler	False	https://bioconductor.org/packages/3.20/bioc/html/cliProfiler.html	Artistic-2.0			A package for the CLIP data visualization	generic	0		1.12.0	['bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-bsgenome >=1.74.0,<1.75.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-rtracklayer >=1.66.0,<1.67.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'r-base', 'r-dplyr', 'r-ggplot2']	['bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-bsgenome >=1.74.0,<1.75.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-rtracklayer >=1.66.0,<1.67.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'r-base', 'r-dplyr', 'r-ggplot2']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/cliProfiler_1.12.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/cliProfiler/cliProfiler_1.12.0.tar.gz', 'https://bioarchive.galaxyproject.org/cliProfiler_1.12.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-cliprofiler/bioconductor-cliprofiler_1.12.0_src_all.tar.gz']	"['$R -e ""library(\'cliProfiler\')""']"		An easy and fast way to visualize and profile the high-throughput IP data. This package generates the meta gene profile and other profiles. These profiles could provide valuable information for understanding the IP experiment results.	['lib/R/lib/', 'lib/']	None				65c54643619d8f59e77564ab9ea2bb9d																																												
metaquant	False	The package home page	Apache Software License	APACHE		Quantitative microbiome analysis	python	1	python -m pip install --no-deps --ignore-installed .	0.1.2	['python >=3', 'pip']	['python >=3', 'pandas', 'ete3', 'goatools', 'wget', 'numpy', 'statsmodels']	b0826a3a10400fcf106e5d7ff92da4f597c92d7163fa1eb438257dbe340e51b5	https://pypi.io/packages/source/m/metaquant/metaquant-0.1.2.tar.gz	['metaquant --help']	['metaquant']								https://github.com/caleb-easterly/metaquant	['metaquant=metaquant.__main__:main']																																										
macrel	False	https://github.com/BigDataBiology/macrel	MIT			A pipeline for AMP (antimicrobial peptide) prediction	python	1	python -m pip install --disable-pip-version-check --no-cache-dir --ignore-installed --no-deps -vv .	1.6.0	['python', 'pip']	['python', 'atomicwrites', 'ngless', 'joblib', 'megahit', 'paladin', 'pandas', 'scikit-learn', 'requests', 'onnxruntime', 'tzlocal', 'pyrodigal >=0.7.3']	76c69e7eebd86b4c1c0790797ce3dea81f8c23513b7b3effa92cca14db7804e6	https://github.com/BigDataBiology/macrel/archive/v1.6.0.tar.gz	['macrel --version']	['macrel']	"Used for the prediction of AMPs in (meta)genomes.
"		['None']					https://github.com/BigDataBiology/macrel	['macrel= macrel.main:main']	['celiosantosjr', 'luispedro']		['doi:10.7717/peerj.10555']																																							
calour	False	https://biocore.github.io/calour/	BSD-3-Clause	BSD	COPYING.txt	exploratory and interactive microbiome analyses based on heatmaps	python	0	python -m pip install --no-deps --ignore-installed .	2020.8.6	['python >=3.5', 'pip', 'setuptools']	['python >=3.5', 'numpy', 'scipy', 'pandas', 'matplotlib-base >=2.0', 'scikit-learn', 'scikit-bio >=0.5.1', 'biom-format', 'statsmodels', 'ipython', 'ipywidgets', 'pyqt >5', 'docrep']	44f19423ac479225cb29fd4d9812acea3b118f8549684c688405de0cd98f1517	https://github.com/biocore/calour/archive/2020.8.6.tar.gz		['calour']	"Calour is a python package for processing, analysis and interactive
exploration of microbiome (and other matrix form data),
incorporating external databases.
"							https://github.com/biocore/calour		['RNAer', 'amnona']							https://biocore.github.io/calour/																																		
bioconductor-scope	False	https://bioconductor.org/packages/3.20/bioc/html/SCOPE.html	GPL-2		/lib/R/share/licenses/GPL-2	A normalization and copy number estimation method for single-cell DNA sequencing	generic	0		1.18.0	['bioconductor-biocgenerics >=0.52.0,<0.53.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-bsgenome >=1.74.0,<1.75.0', 'bioconductor-bsgenome.hsapiens.ucsc.hg19 >=1.4.0,<1.5.0', 'bioconductor-dnacopy >=1.80.0,<1.81.0', 'bioconductor-genomeinfodb >=1.42.0,<1.43.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-iranges >=2.40.0,<2.41.0', 'bioconductor-rsamtools >=2.22.0,<2.23.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'r-base', 'r-desctools', 'r-doparallel', 'r-foreach', 'r-gplots', 'r-rcolorbrewer']	['bioconductor-biocgenerics >=0.52.0,<0.53.0', 'bioconductor-biostrings >=2.74.0,<2.75.0', 'bioconductor-bsgenome >=1.74.0,<1.75.0', 'bioconductor-bsgenome.hsapiens.ucsc.hg19 >=1.4.0,<1.5.0', 'bioconductor-dnacopy >=1.80.0,<1.81.0', 'bioconductor-genomeinfodb >=1.42.0,<1.43.0', 'bioconductor-genomicranges >=1.58.0,<1.59.0', 'bioconductor-iranges >=2.40.0,<2.41.0', 'bioconductor-rsamtools >=2.22.0,<2.23.0', 'bioconductor-s4vectors >=0.44.0,<0.45.0', 'r-base', 'r-desctools', 'r-doparallel', 'r-foreach', 'r-gplots', 'r-rcolorbrewer']		['https://bioconductor.org/packages/3.20/bioc/src/contrib/SCOPE_1.18.0.tar.gz', 'https://bioconductor.org/packages/3.20/bioc/src/contrib/Archive/SCOPE/SCOPE_1.18.0.tar.gz', 'https://bioarchive.galaxyproject.org/SCOPE_1.18.0.tar.gz', 'https://depot.galaxyproject.org/software/bioconductor-scope/bioconductor-scope_1.18.0_src_all.tar.gz']	"['$R -e ""library(\'SCOPE\')""']"		Whole genome single-cell DNA sequencing (scDNA-seq) enables characterization of copy number profiles at the cellular level. This circumvents the averaging effects associated with bulk-tissue sequencing and has increased resolution yet decreased ambiguity in deconvolving cancer subclones and elucidating cancer evolutionary history. ScDNA-seq data is, however, sparse, noisy, and highly variable even within a homogeneous cell population, due to the biases and artifacts that are introduced during the library preparation and sequencing procedure. Here, we propose SCOPE, a normalization and copy number estimation method for scDNA-seq data. The distinguishing features of SCOPE include: (i) utilization of cell-specific Gini coefficients for quality controls and for identification of normal/diploid cells, which are further used as negative control samples in a Poisson latent factor model for normalization; (ii) modeling of GC content bias using an expectation-maximization algorithm embedded in the Poisson generalized linear models, which accounts for the different copy number states along the genome; (iii) a cross-sample iterative segmentation procedure to identify breakpoints that are shared across cells from the same genetic background.	['lib/R/lib/', 'lib/']	None				9c3441b1dcb0f8a7f7cc20d12d534730																																												
idba_subasm	False	https://github.com/abishara/idba	GPL2			Fork of IDBA with modifications to perform subassembly for the read cloud metagenomic assembler Athena		9		1.1.3a2	['gawk', 'python', 'perl']	['python', 'perl', 'llvm-openmp']	421d097aaafd27e7b0c8b7bd5ae51b17e2f2a899dfd27fa1e9f5df909168f57e	https://github.com/abishara/idba/archive/1.1.3a2.tar.gz	"['idba_subasm --help 2>&1 | grep ""Iterative de Bruijn Graph Assembler""']"												['autoconf', 'automake 1.15', 'make', 'binutils', 'None', 'None', 'llvm-openmp']			True																																					
pathracer	False	http://cab.spbu.ru/software/pathracer/	GPLv2	GPL	LICENSE	PathRacer is a tool for alignment of profile HMM against assembly graph.		1		3.16.0.dev	['llvm-openmp', 'openmp', 'zlib', 'bzip2', 'sysroot_linux-64=2.17']	['llvm-openmp', 'openmp', 'sysroot_linux-64=2.17']	21aeefb2b2ca39980a38e2df9e7158d448547379f57c05ad08cee0a6d637bf92	http://cab.spbu.ru/files/pathracer/SPAdes-3.16.0-pathracer-dev.tar.gz	['pathracer 2>&1 | grep SYNOPSIS -A 1']		"PathRacer is a novel standalone tool that aligns profile HMM directly to the assembly graph (performing the codon translation on fly for amino acid 
pHMMs). The tool provides the set of most probable paths traversed by a HMM through the whole assembly graph, regardless whether the sequence of 
interested is encoded on the single contig or scattered across the set of edges, therefore significantly improving the recovery of sequences of 
interest even from fragmented metagenome assemblies.
"										['None', 'None', 'clangdev', 'llvm-openmp', 'openmp', 'cmake', 'make', 'pkg-config', 'sysroot_linux-64=2.17']	['biotools:pathracer', 'doi:10.1007/978-3-030-18174-1_6']						['should_not_be_noarch_source']																																	
eukrep	False	https://github.com/patrickwest/EukRep	MIT	MIT	LICENSE.txt	Classification of Eukaryotic and Prokaryotic sequences from metagenomic datasets	python	3	 -m pip install . -vv	0.6.7	['pip', 'python']	['biopython', 'kpal', 'numpy', 'python', 'scikit-learn =0.19.2', 'libgfortran =3.0.0']	e3c80497c0e3ea96c9d6c9926aca3e9ed3fc8136d656648f62e93d59c46234a2	https://pypi.io/packages/source/E/EukRep/EukRep-0.6.7.tar.gz	['EukRep --version']				['None']															['should_use_compilers']																																	
cat	False	https://github.com/MGXlab/CAT_pack	MIT	MIT	LICENSE.md	"CAT/BAT: tool for taxonomic classification of contigs and metagenome-assembled genomes (MAGs)
"	generic	1		6.0.1		['python >=3', 'diamond', 'prodigal', 'bwa', 'samtools']	189707d8a0f6fa3ce50ed5fd5e9955b97119b514d38a190d393a701ec652f8fc	https://github.com/MGXlab/CAT_pack/archive/v6.0.1.tar.gz	['CAT_pack prepare -h']				['None']					https://github.com/MGXlab/CAT_pack																																											
riboraptor	False	https://github.com/saketkc/riboraptor	BSD License	BSD	LICENSE	Python package to analyse ribosome profiling data	python	2	-m pip install . --ignore-installed --no-deps -vv	0.2.2	['python >=3', 'pip']	['python >=3', 'matplotlib >=2.1.0', 'numpy >=1.11.0', 'pandas >=0.20.3', 'pybedtools >=0.7.10', 'pybigwig >=0.2.8', 'pyfaidx >=0.5.0', 'pysam >=0.11.2.2', 'scipy >=0.19.1', 'seaborn >=0.8.1', 'statsmodels >=0.8.0', 'six >=1.11.0', 'click >=6.0', 'click-help-colors >=0.3', 'htseq >=0.9.1', 'biopython >=1.70', 'snakemake', 'sra-tools', 'star', 'fastqc', 'trim-galore', 'ucsc-bedgraphtobigwig', 'ucsc-bedsort', 'htseq']	ae7a83ebe2670ad7efc4164ac27a416913b0e45eea07b3edf41fb8b6343e062e	https://pypi.io/packages/source/r/riboraptor/riboraptor-0.2.2.tar.gz	['export LC_ALL=en_US.UTF-8 && export LANG=en_US.UTF-8 && riboraptor --help']	['riboraptor.helpers', 'riboraptor.wig', 'riboraptor.count']								https://github.com/saketkc/riboraptor	['riboraptor=riboraptor.cli:cli']	Saket Choudhary <saketkc@gmail.com>							https://saketkc.github.io/riboraptor		True	['biopython >=1.70', 'click >=6.0', 'click-help-colors >=0.3', 'htseq >=0.9.1', 'matplotlib >=2.1.0', 'numpy >=1.11.0', 'pandas >=0.20.3', 'pybedtools >=0.7.10', 'pybigwig >=0.2.8', 'pyfaidx >=0.5.0', 'pysam >=0.11.2.2', 'pytest', 'scipy >=0.19.1', 'seaborn >=0.8.1', 'six >=1.11.0', 'statsmodels >=0.8.0']																															
