Name	Source	ID	Link	Creators	Type	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	Filtered on	To keep
PARROT-FJD	WorkflowHub	1864	https:/workflowhub.eu/workflows/1864?version=1		Nextflow	bioinformatics, genomics, nextflow	2025-08-12	2025-08-12	1	1	0			Bioinformatics, Genomics	CC-BY-4.0		Bioinformatics Unit IIS-FJD	profil.* in description	False
prepareChIPs:	WorkflowHub	528	https:/workflowhub.eu/workflows/528?version=1	Stevie Pederson	Snakemake	bioinformatics, genomics, transcriptomics	2023-07-09	2023-07-09	1	1	0	MACS, Bowtie 2, AdapterRemoval, R, FastQC, MultiQC, Bioconductor, ngsReports	Transcription factor binding site prediction	ChIP-seq	CC-BY-4.0	10.48546/workflowhub.workflow.528.1	Black Ochre Data Labs	profil.* in description	False
ASPICov	WorkflowHub	192	https:/workflowhub.eu/workflows/192?version=1	Valentin Tilloy, Pierre Cuzin, Laura Leroi, Patrick Durand	Nextflow	covid-19	2021-09-24	2023-01-16	1	1	0				Apache-2.0		CHU Limoges - UF9481 Bioinformatique / CNR Herpesvirus	Amplicon in description	False
metaBIOMx: Metagenomics pipeline for Microbial shot-gun sequencing data	WorkflowHub	1787	https:/workflowhub.eu/workflows/1787?version=6	Alem Gusinac, Thomas Ederveen, Jos Boekhorst, Annemarie Boleij	Nextflow	bioinformatics, metagenomics, nextflow	2025-10-07	2025-10-08	6	3	0	AdapterRemoval, BCFtools, BBTools, Trimmomatic, FastQC, MultiQC, humann, MetaPhlAn, SPAdes, BUSCO, Bowtie 2, CAT and BAT, OmicFlow	Gene functional annotation, Taxonomic classification	Metagenomic sequencing, Metagenomics, Microbial ecology, Microbiology	MIT	10.48546/workflowhub.workflow.1787.6	CMG-GUTS	edam	True
FAIR CRCC - send data	WorkflowHub	265	https:/workflowhub.eu/workflows/265?version=1	Luca Pireddu	Snakemake		2022-01-27	2024-09-15	1	1	0				GPL-3.0		CRC Cohort	profil.* in description	False
Reference-based assembly with bacpage	WorkflowHub	693	https:/workflowhub.eu/workflows/693?version=1		Workflow Description Language		2023-12-20	2023-12-20	1	1	0				GPL-3.0		CholGen	plasmid.* in description	False
Phylogeny reconstruction using bacpage	WorkflowHub	695	https:/workflowhub.eu/workflows/695?version=2		Workflow Description Language		2024-01-09	2024-01-09	2	1	0				GPL-3.0		CholGen	plasmid.* in description	False
ECP experiments	WorkflowHub	576	https:/workflowhub.eu/workflows/576?version=1	Davide Gurnari	Python		2023-09-25	2023-09-25	1	1	0				MIT	10.48546/workflowhub.workflow.576.1	Dioscuri TDA	profil.* in description	False
EBP-Nor Genome Assembly Pipeline	WorkflowHub	740	https:/workflowhub.eu/workflows/740?version=1		Snakemake		2024-02-13	2024-02-13	1	1	0				MIT		EBP-Nor	profil.* in description	False
IMPaCT-Data quality control workflow implementation in nf-core/Sarek	WorkflowHub	1030	https:/workflowhub.eu/workflows/1030?version=3	Arnau Soler Costa, Amy Curwin, Jordi Rambla	Nextflow	bioinformatics, ega-archive, ngs, nextflow, wgs, quality control, variant calling, wes	2024-06-25	2024-06-25	3	3	0				MIT		EGA	profil.* in description	False
EI Single-Cell Analysis pipeline	WorkflowHub	1795	https:/workflowhub.eu/workflows/1795?version=1	Huihai Wu, Irene Papatheodorou	Nextflow	10x, scrna-seq, single-cell, smart-seq 2	2025-07-09	2025-07-09	1	1	0	kallisto, STAR, Alevin, FastQC, MultiQC, CellChat		Single-cell sequencing	MIT		EI Papatheodorou Group	profil.* in description	False
ANNOTATO - ERGA Genome Annotation Workflow in Nextflow	WorkflowHub	654	https:/workflowhub.eu/workflows/654?version=2	Phuong Doan	Nextflow	annotation, bge, biodiversity, bioinformatics, de_novo, erga, genomics, nextflow, transcriptomics, workflows, rna-seq	2023-11-23	2023-11-24	2	2	0	funannotate, BRAKER1, Minimap2, STAR, RepeatMasker, RepeatModeler, BLAST, StringTie, FastQC, fastp, BUSCO, MultiQC, protexcluder		Gene structure, Gene transcripts, Genomics	CC-BY-4.0	10.48546/workflowhub.workflow.654.2	ERGA Annotation, Bioinformatics Laboratory for Genomics and Biodiversity (LBGB)	profil.* in description	False
ERGA-BGE Genome Report ASM analyses (one-asm WGS Illumina PE + HiC)	WorkflowHub	1103	https:/workflowhub.eu/workflows/1103?version=3	Diego De Panis	Galaxy	biodiversity, genome assembly, genomics, qc	2024-11-04	2024-12-05	3	3	45	sambamba_flagstat, rseqc_bam_stat, cooler_cload_tabix, __FLATTEN__, sam_merge2, sambamba_merge, pick_value, blobtoolkit, bwa_mem2, CONVERTER_fasta_to_fai, meryl, Cut1, pairtools_split, bedtools_makewindowsbed, gfastats, pairtools_sort, __EXTRACT_DATASET__, pairtools_parse, hicexplorer_hicplotmatrix, merqury, fastp, lftp, cooler_csort_tabix, genomescope, pairtools_dedup, collapse_dataset, hicexplorer_hicmergematrixbins, smudgeplot, busco, datasets_download_genome, fasterq_dump, tp_text_file_with_recurring_lines, bg_diamond	Genome assembly	Genomics	MIT		ERGA Assembly	profil.* in description	False
ERGA Profiling Long Reads v2505 (WF1)	WorkflowHub	603	https:/workflowhub.eu/workflows/603?version=2	Diego De Panis	Galaxy	erga, profiling	2024-09-18	2025-06-24	2	2	17	tp_find_and_replace, Add_a_column1, param_value_from_file, Cut1, meryl, tp_grep_tool, smudgeplot, Convert characters1, tp_cut_tool, genomescope	Sequencing quality control	Whole genome sequencing	MIT		ERGA Assembly	profil.* in tags	False
ERGA-BGE Genome Report ASM analyses (one-asm HiFi + HiC)	WorkflowHub	1104	https:/workflowhub.eu/workflows/1104?version=2	Diego De Panis	Galaxy	genome assembly, genomics, qc	2024-11-04	2024-12-05	2	2	45	sambamba_flagstat, rseqc_bam_stat, cooler_cload_tabix, __FLATTEN__, minimap2, sam_merge2, sambamba_merge, pick_value, blobtoolkit, bwa_mem2, CONVERTER_fasta_to_fai, meryl, Cut1, pairtools_split, bedtools_makewindowsbed, gfastats, pairtools_sort, __EXTRACT_DATASET__, pairtools_parse, hicexplorer_hicplotmatrix, merqury, cutadapt, fastp, lftp, cooler_csort_tabix, genomescope, pairtools_dedup, collapse_dataset, hicexplorer_hicmergematrixbins, smudgeplot, busco, datasets_download_genome, fasterq_dump, tp_text_file_with_recurring_lines, bg_diamond	Genome assembly	Genomics	MIT		ERGA Assembly	profil.* in description	False
ERGA Profiling Illumina v2311 (WF1)	WorkflowHub	698	https:/workflowhub.eu/workflows/698?version=1	Diego De Panis	Galaxy	erga, illumina, name:profiling	2024-01-08	2024-01-08	1	1	17	tp_find_and_replace, Add_a_column1, param_value_from_file, Cut1, meryl, tp_grep_tool, smudgeplot, Convert characters1, tp_cut_tool, genomescope	Sequencing quality control	Whole genome sequencing	MIT		ERGA Assembly	profil.* in tags	False
A nextflow pipeline to run the end-to-end image-based in-situ sequencing decoding and RNAScope-like analysis	WorkflowHub	1841	https:/workflowhub.eu/workflows/1841?version=1	Tong LI	Nextflow	bioinformatics, decoding, image-analysis, spatial, spatial transcriptomics	2025-07-29	2025-07-29	1	1	0				MIT		Euro-BioImaging	profil.* in description	False
Pd-Al2O3 Catalyst for Ammonia	WorkflowHub	1803	https:/workflowhub.eu/workflows/1803?version=1	Patrick Austin, Alexander Belozerov, Subindev Devadasan, Leandro Liborio, Abraham Nieva de la Hidalga, Tom Underwood	Galaxy		2025-07-11	2025-11-11	1	1	33				CC-BY-4.0	10.48546/workflowhub.workflow.1803.1	EuroScienceGateway	profil.* in description	False
Marine Omics identifying biosynthetic gene clusters	WorkflowHub	1105	https:/workflowhub.eu/workflows/1105?version=1	Marie Jossé	Galaxy	earth-system, ecology, marine omics, ocean	2024-08-21	2024-08-21	1	1	5	Create the protein fasta file, Create TSV file for Sanntis, Use of Sanntis, Remove useless * in the protein fasta file		Marine biology	CC-BY-4.0		FAIR-EASE, usegalaxy-eu	metab.* in description	True
atavide	WorkflowHub	241	https:/workflowhub.eu/workflows/241?version=1		Snakemake		2021-11-21	2023-01-16	1	1	0				MIT	10.48546/workflowhub.workflow.241.1	FAME	metage.* in description	True
GENEX	WorkflowHub	1846	https:/workflowhub.eu/workflows/1846?version=1	Nikolay Oskolkov	Nextflow		2025-08-10	2025-08-19	1	1	0		Alignment	Bioinformatics, Metagenomics	CC0-1.0	10.48546/workflowhub.workflow.1846.1	GENEX	edam	False
16S_biodiversity_BIOM	WorkflowHub	142	https:/workflowhub.eu/workflows/142?version=1	Mike Thang	Galaxy	metadegalaxy	2021-08-11	2024-04-17	1	1	8	biom_convert, phyloseq_DESeq2, phyloseq_taxonomy, biom_add_metadata, phyloseq_abundance, symmetricPlot, phyloseq_richness, phyloseq_net	Taxonomic classification	Metagenomics	GPL-3.0		Galaxy Australia	edam	True
Assembly polishing	WorkflowHub	226	https:/workflowhub.eu/workflows/226?version=1	Anna Syme	Galaxy	large-genome-assembly	2021-11-08	2023-01-30	1	1	6	"medaka_consensus_pipeline, 
 01041e6e0464607c, fasta-stats, 
 d5a2cb013d9747c0"	Sequence assembly	Sequence assembly	Apache-2.0	10.48546/workflowhub.workflow.226.1	Galaxy Australia, Australian BioCommons	profil.* in description	False
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 3: Functional Information	WorkflowHub	1456	https:/workflowhub.eu/workflows/1456?version=2		Galaxy	gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	18	tp_find_and_replace, humann_unpack_pathways, humann_split_stratified_table, humann_renorm_table, tp_sort_header_tool, Grep1, humann_regroup_table, humann, humann_rename_table			MIT		Galaxy Training Network	microbiom.* in tags	
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 2: Community profile	WorkflowHub	1451	https:/workflowhub.eu/workflows/1451?version=2		Galaxy	gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	6	taxonomy_krona_chart, Cut1, graphlan, graphlan_annotate, export2graphlan, metaphlan			MIT		Galaxy Training Network	microbiom.* in tags	
Query a metaplasmidome database to identify and annotate plasmids in metagenomes	WorkflowHub	1469	https:/workflowhub.eu/workflows/1469?version=1		Galaxy	gtn, galaxy, metagenomics, metaplasmidome, name:microgalaxy	2025-06-02	2025-06-02	1	1	47	ggplot2_histogram, Add_a_column1, Grouping1, Cut1, Filter1, join1, tp_sorted_uniq, MQoutputfilter, tp_tail_tool, sort1, tp_replace_in_column, histogram_rpy, add_column_headers, tab2fasta, cat1, minimap2, CONVERTER_fasta_to_tabular, count_gff_features			MIT		Galaxy Training Network	metage.* in tags	
WF4_Quantitation_Workflow	WorkflowHub	1468	https:/workflowhub.eu/workflows/1468?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	7	Grep1, Cut1, Grouping1, maxquant			CC-BY-4.0		Galaxy Training Network	metap.* in description	
Metatranscriptomics analysis using microbiome RNA-seq data	WorkflowHub	1466	https:/workflowhub.eu/workflows/1466?version=2		Galaxy	gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	33	Grouping1, humann_renorm_table, tp_sort_header_tool, Grep1, humann_regroup_table, combine_metaphlan_humann, humann_unpack_pathways, Cut1, taxonomy_krona_chart, export2graphlan, humann_rename_table, metaphlan, bg_sortmerna, fastq_paired_end_interlacer, graphlan, fastqc, cutadapt, graphlan_annotate, tp_find_and_replace, humann_split_stratified_table, multiqc, humann			MIT		Galaxy Training Network	microbiom.* in tags	
Workflow constructed from history 'Tuto Obitools'	WorkflowHub	1702	https:/workflowhub.eu/workflows/1702?version=1		Galaxy	ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	23	wc_gnu, unzip, obi_uniq, obi_clean, Cut1, obi_stat, Filter1, fastq_groomer, join1, obi_tab, fastqc, obi_illumina_pairend, obi_ngsfilter, obi_grep, obi_annotate, ncbi_blastn_wrapper, seq_filter_by_id			CC-BY-4.0		Galaxy Training Network	metab.* in description	
Assembly of metagenomic sequencing data	WorkflowHub	1390	https:/workflowhub.eu/workflows/1390?version=2		Galaxy	gtn, galaxy, microbiome	2025-06-16	2025-06-16	2	2	9	bandage_info, collection_column_join, coverm_contig, bowtie2, bandage_image, megahit, quast, megahit_contig2fastg, metaspades			MIT		Galaxy Training Network	microbiom.* in tags	True
Taxonomic Profiling and Visualization of Metagenomic Data	WorkflowHub	1470	https:/workflowhub.eu/workflows/1470?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	10	kraken2, taxonomy_krona_chart, kraken_biom, interactive_tool_pavian, interactive_tool_phinch, __UNZIP_COLLECTION__, krakentools_kreport2krona, est_abundance, metaphlan			MIT		Galaxy Training Network	microbiom.* in tags	
Training: 16S rRNA Sequencing With Mothur: Main Tutorial	WorkflowHub	1465	https:/workflowhub.eu/workflows/1465?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	38	mothur_pre_cluster, mothur_dist_shared, mothur_screen_seqs, mothur_get_groups, mothur_make_biom, mothur_remove_groups, mothur_cluster_split, mothur_cluster, mothur_classify_seqs, mothur_rarefaction_single, mothur_unique_seqs, mothur_heatmap_sim, mothur_align_seqs, mothur_seq_error, taxonomy_krona_chart, mothur_summary_seqs, mothur_summary_single, mothur_count_groups, mothur_remove_seqs, mothur_sub_sample, mothur_tree_shared, mothur_classify_otu, mothur_count_seqs, mothur_dist_seqs, newick_display, XY_Plot_1, mothur_venn, mothur_make_contigs, mothur_filter_seqs, mothur_chimera_vsearch, mothur_remove_lineage, mothur_make_shared, mothur_taxonomy_to_krona			CC-BY-4.0		Galaxy Training Network	microbiom.* in tags	
EncyclopeDIA-GTN	WorkflowHub	1471	https:/workflowhub.eu/workflows/1471?version=1		Galaxy	gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	4	encyclopedia_quantify, msconvert, encyclopedia_searchtolib			CC-BY-4.0		Galaxy Training Network	metap.* in description	False
Training: 16S rRNA Analysis with Nanopore Sequencing Reads	WorkflowHub	1473	https:/workflowhub.eu/workflows/1473?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	11	tp_replace_in_line, kraken2, taxonomy_krona_chart, multiqc, porechop, datamash_reverse, fastqc, Remove beginning1, fastp			CC-BY-4.0		Galaxy Training Network	microbiom.* in tags	
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 1: Preprocessing	WorkflowHub	1444	https:/workflowhub.eu/workflows/1444?version=2		Galaxy	gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	6	bg_sortmerna, fastq_paired_end_interlacer, multiqc, fastqc, cutadapt			MIT		Galaxy Training Network	microbiom.* in tags	
Metagenomics assembly tutorial workflow	WorkflowHub	1634	https:/workflowhub.eu/workflows/1634?version=1		Galaxy	gtn, galaxy	2025-06-02	2025-06-02	1	1	8	bandage_info, collection_column_join, bowtie2, bandage_image, megahit, quast, megahit_contig2fastg, metaspades			CC-BY-4.0		Galaxy Training Network	metage.* in name	
"WGS Part In ""Analyses Of Metagenomics Data - The Global Picture"""	WorkflowHub	1472	https:/workflowhub.eu/workflows/1472?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	7	taxonomy_krona_chart, humann2, metaphlan2, humann2_regroup_table, humann2_renorm_table, metaphlan2krona			CC-BY-4.0		Galaxy Training Network	microbiom.* in tags	
workflow-generate-dataset-for-assembly-tutorial	WorkflowHub	1631	https:/workflowhub.eu/workflows/1631?version=1		Galaxy	gtn, galaxy	2025-06-02	2025-06-02	1	1	18	bowtie2, seqtk_subseq, fastqc, ngsutils_bam_filter, cutadapt, megahit, bamtools, random_lines1, filter_tabular, bg_uniq, tp_cat			CC-BY-4.0		Galaxy Training Network	metage.* in description	
Copy Of GTN Training - Antibiotic Resistance Detection	WorkflowHub	1477	https:/workflowhub.eu/workflows/1477?version=1		Galaxy	gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	12	unicycler, racon, PlasFlow, bandage_image, staramr_search, miniasm, nanoplot, gfa_to_fa, minimap2			CC-BY-4.0		Galaxy Training Network	microbiom.* in tags	True
Allele-based Pathogen Identification	WorkflowHub	1479	https:/workflowhub.eu/workflows/1479?version=1		Galaxy	gtn, galaxy, name:iwc, name:microgalaxy, name:pathogfair, name:collection	2025-06-02	2025-06-02	1	1	23	tp_head_tool, Paste1, Cut1, clair3, table_compute, regexColumn1, CONVERTER_gz_to_uncompressed, bcftools_norm, Remove beginning1, Count1, samtools_coverage, snpSift_filter, bcftools_consensus, minimap2, samtools_depth, snpSift_extractFields, tp_cut_tool, collapse_dataset			MIT		Galaxy Training Network	microbiom.* in description	True
workflow-generate-dataset-for-assembly-tutorial	WorkflowHub	1480	https:/workflowhub.eu/workflows/1480?version=1		Galaxy	gtn, galaxy	2025-06-02	2025-06-02	1	1	18	bowtie2, seqtk_subseq, fastqc, ngsutils_bam_filter, cutadapt, megahit, bamtools, random_lines1, filter_tabular, bg_uniq, tp_cat			CC-BY-4.0		Galaxy Training Network	metage.* in description	
WF5_Data_Interpretation_Worklow	WorkflowHub	1482	https:/workflowhub.eu/workflows/1482?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	6	Grep1, unipept, msstatstmt			CC-BY-4.0		Galaxy Training Network	metap.* in description	
Taxonomy Profiling and Visualization with Krona	WorkflowHub	1483	https:/workflowhub.eu/workflows/1483?version=1		Galaxy	gtn, galaxy, name:iwc, name:microgalaxy, name:pathogfair, name:collection	2025-06-02	2025-06-02	1	1	3	krakentools_kreport2krona, kraken2, taxonomy_krona_chart			MIT		Galaxy Training Network	profil.* in name	
mrsa AMR gene detection	WorkflowHub	1488	https:/workflowhub.eu/workflows/1488?version=1		Galaxy	gtn, galaxy, microgalaxy, genome-annotation	2025-06-02	2025-06-02	1	1	6	bowtie2, staramr_search, Grep1, jbrowse, tbl2gff3, bakta			MIT		Galaxy Training Network	amr in name	
Gene-based Pathogen Identification	WorkflowHub	1495	https:/workflowhub.eu/workflows/1495?version=1		Galaxy	gtn, galaxy, name:iwc, name:microgalaxy, name:pathogfair, name:collection	2025-06-02	2025-06-02	1	1	15	compose_text_param, medaka_consensus_pipeline, fasta2tab, split_file_to_collection, param_value_from_file, tp_find_and_replace, abricate, flye, __BUILD_LIST__, bandage_image, collection_element_identifiers, tab2fasta			MIT		Galaxy Training Network	microbiom.* in description	True
CP_object_tracking_example	WorkflowHub	1503	https:/workflowhub.eu/workflows/1503?version=1		Galaxy	cellprofiler, gtn, galaxy, imaging	2025-06-02	2025-06-02	1	1	12	cp_identify_primary_objects, cp_overlay_outlines, cp_color_to_gray, unzip, cp_measure_object_intensity, cp_cellprofiler, cp_common, cp_track_objects, cp_tile, cp_measure_object_size_shape, cp_save_images, cp_export_to_spreadsheet			CC-BY-4.0		Galaxy Training Network	profil.* in description	False
Gene Cluster Product Similarity Search	WorkflowHub	1558	https:/workflowhub.eu/workflows/1558?version=1		Galaxy	gtn, galaxy, sempi3	2025-06-02	2025-06-02	1	1	12	ctb_simsearch, ctb_np-likeness-calculator, ncbi_acc_download, antismash, tp_awk_tool, Remove beginning1, interactive_tool_jupyter_notebook, ctb_silicos_qed, openbabel_remDuplicates, ctb_chemfp_mol2fps, collapse_dataset			CC-BY-4.0		Galaxy Training Network	metab.* in description	True
From BAMs to drug resistance prediction with TB-profiler	WorkflowHub	1564	https:/workflowhub.eu/workflows/1564?version=1		Galaxy	gtn, galaxy, evolution	2025-06-02	2025-06-02	1	1	9	"samtools_view, tp_replace_in_line, tp_sed_tool, tp_grep_tool, addName, tb_profiler_profile, Merge single-end and paired-end BAMs in a single collection to be analyzed alltogether
__MERGE_COLLECTION__, tp_cat"			CC-BY-4.0		Galaxy Training Network	profil.* in name	True
Genetic Design (BASIC Assembly)	WorkflowHub	1576	https:/workflowhub.eu/workflows/1576?version=1		Galaxy	gtn, galaxy, synthetic-biology	2025-06-02	2025-06-02	1	1	3	selenzy-wrapper, rpbasicdesign, dnabot			CC-BY-4.0		Galaxy Training Network	plasmid.* in description	False
Workflow Constructed From History 'imported: testpourGCC'	WorkflowHub	1584	https:/workflowhub.eu/workflows/1584?version=1		Galaxy	gtn, galaxy, metabolomics	2025-06-02	2025-06-02	1	1	17	quality_metrics, wsdl_hmdb, Batch_correction, msnbase_readmsdata, generic_filter, abims_xcms_group, xcms_merge, abims_xcms_fillPeaks, abims_xcms_retcor, abims_xcms_xcmsSet, xcms_plot_chromatogram, abims_CAMERA_annotateDiffreport, Univariate			CC-BY-4.0		Galaxy Training Network	metab.* in tags	
MSI Finding Diff Analytes	WorkflowHub	1587	https:/workflowhub.eu/workflows/1587?version=1		Galaxy	gtn, galaxy, metabolomics	2025-06-02	2025-06-02	1	1	14	cardinal_combine, Filter1, join_files_on_column_fuzzy, maldi_quant_preprocessing, cardinal_mz_images, Grep1, maldi_quant_peak_detection, cardinal_segmentations, cardinal_classification, Summary_Statistics1, cardinal_quality_report, cardinal_preprocessing			CC-BY-4.0		Galaxy Training Network	metab.* in tags	
Molecular formula assignment and recalibration with MFAssignR package.	WorkflowHub	1591	https:/workflowhub.eu/workflows/1591?version=1		Galaxy	formulaassignment, gtn, galaxy, metabolomics, noiseestimation, recalibration	2025-06-02	2025-06-02	1	1	9	mfassignr_recal, mfassignr_snplot, mfassignr_findRecalSeries, mfassignr_isofiltr, mfassignr_mfassignCHO, mfassignr_histnoise, mfassignr_mfassign, mfassignr_recallist, mfassignr_kmdnoise			MIT		Galaxy Training Network	metab.* in tags	
MSI Workflow: spatial distribution	WorkflowHub	1593	https:/workflowhub.eu/workflows/1593?version=1		Galaxy	gtn, galaxy, metabolomics	2025-06-02	2025-06-02	1	1	8	Filter1, cardinal_mz_images, cardinal_spectra_plots, cardinal_filtering, cardinal_data_exporter, cardinal_quality_report			CC-BY-4.0		Galaxy Training Network	metab.* in tags	
pox-virus-tiled-amplicon-ref-masking	WorkflowHub	1632	https:/workflowhub.eu/workflows/1632?version=1		Galaxy	gtn, galaxy, variant-analysis	2025-06-02	2025-06-02	1	1	14	compose_text_param, Add_a_column1, param_value_from_file, Cut1, Grep1, fasta_compute_length, EMBOSS: maskseq51, datamash_ops			MIT		Galaxy Training Network	Amplicon in name	
WF3_VERIFICATION_WORKFLOW	WorkflowHub	1464	https:/workflowhub.eu/workflows/1464?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	19	dbbuilder, Grouping1, uniprotxml_downloader, Cut1, Filter1, Remove beginning1, fasta_merge_files_and_filter_unique_sequences, pepquery2, query_tabular, tp_cat, collapse_dataset			CC-BY-4.0		Galaxy Training Network	metap.* in description	
WF2_Discovery-Workflow	WorkflowHub	1435	https:/workflowhub.eu/workflows/1435?version=1		Galaxy	gtn, galaxy, name:clinicalmp	2025-06-02	2025-06-02	1	1	24	dbbuilder, fasta_cli, fasta2tab, Grouping1, peptide_shaker, Cut1, Filter1, ident_params, search_gui, Grep1, fasta_merge_files_and_filter_unique_sequences, Remove beginning1, msconvert, filter_tabular, query_tabular, tp_cat, maxquant			CC-BY-4.0		Galaxy Training Network	metap.* in description	
Workflow for Identifying MF from ITS2 sequencing using LotuS2 - tutorial example run'	WorkflowHub	1460	https:/workflowhub.eu/workflows/1460?version=1		Galaxy	ecology, fungi, gtn, galaxy, lotus2, metagenomics	2025-06-02	2025-06-02	1	1	1	lotus2			MIT		Galaxy Training Network	metage.* in tags	
MGnify's amplicon pipeline v5.0 - Quality control PE	WorkflowHub	1854	https:/workflowhub.eu/workflows/1854?version=1		Galaxy	amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	17	tp_find_and_replace, fastq_to_fasta_python, trimmomatic, prinseq, multiqc, fastqc, __UNZIP_COLLECTION__, mgnify_seqprep, fastq_filter, fastp, cshl_fasta_formatter			Apache-2.0		Galaxy Training Network	metage.* in tags	
MAPseq to ampvis2	WorkflowHub	1855	https:/workflowhub.eu/workflows/1855?version=1		Galaxy	gtn, galaxy, microbiome	2025-08-11	2025-08-11	1	1	9	collection_column_join, ampvis2_load, tp_awk_tool, query_tabular, collapse_dataset			MIT		Galaxy Training Network	microbiom.* in tags	True
MGnify's amplicon pipeline v5.0 - ITS	WorkflowHub	1856	https:/workflowhub.eu/workflows/1856?version=1		Galaxy	amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	30	, biom_convert, taxonomy_krona_chart, mapseq, __FILTER_FROM_FILE__, bedtools_maskfastabed, collection_element_identifiers, tp_awk_tool, __FILTER_EMPTY_DATASETS__			Apache-2.0		Galaxy Training Network	metage.* in tags	
